Industry,ICTPER1980,ICTPER1981,ICTPER1982,ICTPER1983,ICTPER1984,ICTPER1985,ICTPER1986,ICTPER1987,ICTPER1988,ICTPER1989,ICTPER1990,ICTPER1991,ICTPER1992,ICTPER1993,ICTPER1994,ICTPER1995,ICTPER1996,ICTPER1997,ICTPER1998,ICTPER1999,ICTPER2000,ICTPER2001,ICTPER2002,ICTPER2003,ICTPER2004,ICTPER2005,ICTPER2006,ICTPER2007,ICTPER2008,ICTPER2009,ICTPER2010,ICTPER2011,ICTPER2012,ICTEQUIP1980,ICTEQUIP1981,ICTEQUIP1982,ICTEQUIP1983,ICTEQUIP1984,ICTEQUIP1985,ICTEQUIP1986,ICTEQUIP1987,ICTEQUIP1988,ICTEQUIP1989,ICTEQUIP1990,ICTEQUIP1991,ICTEQUIP1992,ICTEQUIP1993,ICTEQUIP1994,ICTEQUIP1995,ICTEQUIP1996,ICTEQUIP1997,ICTEQUIP1998,ICTEQUIP1999,ICTEQUIP2000,ICTEQUIP2001,ICTEQUIP2002,ICTEQUIP2003,ICTEQUIP2004,ICTEQUIP2005,ICTEQUIP2006,ICTEQUIP2007,ICTEQUIP2008,ICTEQUIP2009,ICTEQUIP2010,ICTEQUIP2011,ICTEQUIP2012,ICTSOFT1980,ICTSOFT1981,ICTSOFT1982,ICTSOFT1983,ICTSOFT1984,ICTSOFT1985,ICTSOFT1986,ICTSOFT1987,ICTSOFT1988,ICTSOFT1989,ICTSOFT1990,ICTSOFT1991,ICTSOFT1992,ICTSOFT1993,ICTSOFT1994,ICTSOFT1995,ICTSOFT1996,ICTSOFT1997,ICTSOFT1998,ICTSOFT1999,ICTSOFT2000,ICTSOFT2001,ICTSOFT2002,ICTSOFT2003,ICTSOFT2004,ICTSOFT2005,ICTSOFT2006,ICTSOFT2007,ICTSOFT2008,ICTSOFT2009,ICTSOFT2010,ICTSOFT2011,ICTSOFT2012,Industry,GVA1980,GVA1981,GVA1982,GVA1983,GVA1984,GVA1985,GVA1986,GVA1987,GVA1988,GVA1989,GVA1990,GVA1991,GVA1992,GVA1993,GVA1994,GVA1995,GVA1996,GVA1997,GVA1998,GVA1999,GVA2000,GVA2001,GVA2002,Industry,CS1980,CS1981,CS1982,CS1983,CS1984,CS1985,CS1986,CS1987,CS1988,CS1989,CS1990,CS1991,CS1992,CS1993,CS1994,CS1995,CS1996,CS1997,CS1998,CS1999,CS2000,CS2001,CS2002,CS2003,CS2004,CS2005,CS2006,CS2007,CS2008,CS2009,CS2010,CS2011,CS2012
"Agriculture, forestry and fishing ",75,87,111,112,126,149,151,134,134,155,166,149,135,122,113,114,118,120,154,163,171,183,166,164,170,192,194,173,185,202,219,235,258,639,705,788,832,880,955,1037,1076,1117,1176,1210,1183,1177,1167,1128,1058,962,892,931,906,897,967,971,1015,1030,1070,1152,1137,1205,1297,1363,1419,1513,12,17,22,28,37,50,66,94,125,152,186,191,200,213,241,251,263,273,293,306,338,353,366,332,308,293,283,282,287,289,293,302,305,"Agriculture, forestry and fishing (A) ",17306,13385,13102,14698,15841,15147,18093,18228,18066,19062,20653,24721,29723,23140,26620,26788,27390,24151,27554,29027,28416,32156,32545,"Agriculture, forestry and fishing ",27005,29949,32619,34865,37841,40845,44827,49137,53609,56342,56862,56130,55992,56292,57104,56604,56502,59693,62991,64963,68401,71553,73578,74435,77365,82749,88819,94486,100998,105569,108175,112749,120255
Mining ,16,21,33,43,46,49,54,54,56,65,70,73,69,74,71,81,93,100,171,166,156,132,110,106,128,140,165,182,248,289,362,405,431,129,148,178,216,235,253,290,324,352,383,407,429,446,480,490,491,488,488,612,618,620,624,615,628,664,681,789,863,1056,1228,1470,1658,1832,7,11,16,21,28,38,52,69,89,100,115,127,133,140,131,135,139,155,193,277,432,541,672,821,938,1037,1109,1169,1251,1289,1319,1362,1397,Mining (B) ,18612,20244,20176,21144,20653,21782,24662,24482,25912,25603,28173,35556,36655,36979,34970,47007,66498,77391,83947,114766,95185,131109,142231,Mining ,19949,24114,30485,36710,40364,44507,49761,54718,59254,63933,68508,70937,71936,75321,78665,83609,89556,96394,106263,114212,118979,121910,125518,131476,140933,153567,175775,203832,240590,279234,309955,353557,434789
Manufacturing ,378,458,670,755,809,891,927,947,965,1068,1185,1236,1248,1272,1278,1439,1425,1299,1512,1486,1581,1588,1420,1391,1542,1678,1843,1794,1996,1895,1847,1788,1684,657,725,851,945,992,1050,1150,1259,1334,1408,1490,1559,1641,1744,1788,1807,1718,1611,1688,1621,1616,1692,1673,1733,1803,1845,2076,2132,2326,2383,2390,2344,2287,91,111,137,164,207,272,355,481,626,750,938,1032,1064,1185,1276,1374,1438,1544,1687,1849,1995,2129,2236,2242,2266,2312,2361,2417,2540,2560,2624,2721,2806,Manufacturing (C) ,57491,53627,54793,58949,63626,67104,69555,70886,75686,76254,78431,79605,82075,89945,96541,98648,102300,105215,112264,110035,107782,107808,105111,Manufacturing ,26310,29815,35112,38833,40668,44017,49081,54347,59002,63791,69439,72185,73965,76930,79651,83884,86497,88286,92818,95254,99553,103145,105338,111311,119988,132873,148794,160709,174301,181187,179819,179169,181604
"Electricity, gas, water and waste services ",69,93,139,194,328,406,455,448,375,316,257,184,148,167,207,174,181,309,425,490,607,670,679,667,734,726,671,731,901,1102,1288,1551,1947,1163,1297,1485,1730,2355,2876,3564,4246,4531,4693,4720,4566,4553,4598,4266,4010,3634,3180,3392,3535,3995,4333,4746,5111,5522,5793,6248,6775,7599,8762,9846,11079,12832,16,26,37,51,68,91,119,168,221,257,298,307,343,498,611,750,873,935,961,1044,1181,1350,1420,1424,1465,1526,1583,1625,1722,1821,2008,2157,2221,"Electricity, gas, water and waste services (D) ",14875,15378,16267,16459,16412,15242,14810,14782,15766,16134,16377,17687,18983,20427,21599,23142,24092,24939,26319,27544,29751,33810,35573,"Electricity, gas, water and waste services ",35870,41678,48946,55902,60997,66752,73596,80280,86326,92489,97815,100368,101468,101738,102123,104304,105790,106948,110054,116441,123429,127686,134302,141988,153564,169289,191218,213904,234060,251770,268308,288366,308780
Construction ,124,157,214,232,247,308,344,340,355,465,508,393,310,294,325,374,419,341,379,378,399,424,431,458,502,560,611,636,825,1108,1186,1136,1069,293,336,392,435,468,532,616,686,759,894,985,931,893,908,953,968,955,860,884,847,837,859,909,998,1053,1126,1296,1402,1684,2095,2320,2366,2400,18,27,39,49,65,87,113,154,228,315,406,436,457,515,592,662,682,663,691,720,751,788,816,803,801,805,816,835,889,913,938,956,974,Construction (E) ,27838,27758,24807,25190,27093,29741,31233,33290,34802,37276,41699,36303,42798,48564,55836,61541,66974,76025,82846,90524,96694,103338,106496,Construction ,5020,5856,6823,7575,8286,9667,11613,13506,15495,17951,19900,19721,19385,19754,20690,21737,22748,22592,23308,24250,25089,25203,25984,26964,28117,29995,32107,34327,37990,42447,44307,45477,46395
Wholesale trade ,217,279,453,501,525,596,622,591,547,572,576,678,660,687,707,706,652,654,793,865,924,921,884,854,941,1166,1363,1408,1624,1619,1526,1477,1475,498,575,721,815,874,965,1079,1169,1209,1251,1275,1363,1405,1486,1534,1485,1359,1293,1348,1331,1336,1344,1383,1433,1492,1624,1917,2069,2349,2519,2562,2568,2618,59,79,105,132,173,229,300,418,560,610,692,741,753,787,834,828,809,816,863,943,1060,1191,1287,1466,1614,1748,1856,1953,2088,2155,2205,2276,2331,Wholesale trade (F) ,20195,21316,20686,22140,23714,24707,26945,28027,28635,30103,31680,32533,35502,39720,42501,44296,45952,48652,53487,53440,55830,59525,63548,Wholesale trade ,10803,12417,14881,16585,17903,19968,22597,24869,26493,28362,29754,31296,31462,32569,34048,35295,35973,37419,39496,41355,43230,43536,44851,46498,49090,53411,58196,62312,67320,69742,69269,69325,71216
Retail trade ,299,409,541,583,614,737,832,844,839,940,1001,933,863,764,710,677,710,658,767,790,845,929,945,953,990,1125,1259,1304,1533,1487,1420,1341,1288,563,669,772,857,911,1030,1177,1297,1378,1480,1567,1587,1621,1637,1623,1528,1425,1312,1338,1286,1273,1309,1367,1446,1482,1558,1777,1902,2157,2276,2312,2284,2284,31,46,66,87,117,157,207,291,393,497,626,713,788,914,992,1050,1061,1094,1181,1271,1388,1513,1583,1672,1751,1834,1907,1981,2101,2160,2209,2280,2334,Retail trade (G) ,19648,20138,20347,22060,22772,24569,26761,28774,29724,31174,32638,33967,37376,39457,42285,44475,46710,51173,55052,57161,58377,61914,65595,Retail trade ,9827,11358,13070,14305,15241,17045,19528,21645,23479,25384,27073,27543,27793,28269,28901,29629,30408,30909,32388,33961,35854,36747,38506,40767,43577,47098,51422,55298,59640,61271,61452,62535,63621
Accommodation and food services ,54,71,98,109,119,155,184,174,185,224,255,225,195,195,176,172,150,189,254,338,355,356,351,347,379,414,440,443,487,499,484,465,456,269,306,354,398,425,482,584,660,757,879,995,1016,1030,1082,1091,1062,963,961,1054,1142,1189,1243,1331,1446,1545,1630,1832,1944,2142,2297,2343,2329,2347,8,14,22,30,42,57,76,109,151,175,212,235,265,274,265,247,204,173,155,150,155,167,176,185,194,203,211,219,232,238,243,251,257,Accommodation and food services (H) ,8280,8937,9341,9908,11371,12212,12974,13370,14614,16055,17234,18257,18459,18893,20836,22231,23551,25056,26949,28592,30329,32560,34498,Accommodation and food services ,5028,6011,7176,8145,9147,10911,13603,16220,18563,21448,24033,24921,24701,24736,25025,25947,26590,28356,30453,33323,35782,36299,37567,39587,42425,45592,49154,52564,55856,57177,56680,56651,56852
"Transport, postal and warehousing ",172,207,263,277,353,418,510,542,439,459,525,530,637,632,560,453,307,318,295,285,449,540,564,647,777,847,968,1054,1260,1395,1199,1064,1011,369,408,454,492,545,606,713,805,819,868,930,946,1024,1068,1266,1185,1015,1258,1173,1081,1194,1336,1374,1545,1814,2054,2466,2758,3206,3630,3441,3230,3123,62,83,108,127,168,233,315,456,641,911,1218,1433,1644,1858,2002,2096,2067,2136,2133,2180,2399,2500,2535,2531,2522,2593,2625,2690,2917,3077,3184,3345,3770,"Transport, postal and warehousing (I) ",21327,21810,22272,23044,23397,26318,27442,28527,29566,31871,32651,34001,36224,39255,42651,47001,49431,57266,60854,61664,63513,68542,69751,"Transport, postal and warehousing ",40498,46856,54303,60763,65856,72697,83476,92649,98486,106048,114447,118616,120725,123102,125280,128927,132379,137380,142769,149764,157649,162177,169875,182628,199434,219912,243543,265663,288068,306627,319057,334872,356229
Information media and telecommunications ,62,79,110,130,159,208,286,275,265,288,344,390,438,563,467,522,584,647,658,702,923,1111,1064,883,732,770,767,787,874,965,1007,1092,1074,537,596,680,768,924,1163,1649,1986,2258,2626,3293,3735,4326,5403,5544,5742,5800,6056,6182,6210,6853,7850,8300,8160,7726,7721,7713,8128,8884,9730,10163,10393,10586,33,46,63,89,122,159,214,261,381,468,588,657,734,962,1183,1309,1462,1527,1654,1836,2048,2403,2636,2712,2790,2830,2945,2775,2601,2450,2392,2448,2447,Information media and telecommunications (J) ,12842,14258,16089,16464,18207,17573,19072,20563,22858,24311,24967,26467,27550,28974,30994,32761,33046,35029,37501,38884,41323,41581,41776,Information media and telecommunications ,11037,12745,14836,16841,18593,21197,25140,28173,31318,34494,38029,39808,41233,43966,45963,49388,53126,56902,59344,61713,67049,71995,74906,76444,79854,85278,92002,103210,113842,119617,120910,122693,125468
