,Gross domestic product: Chain volume measures - Percentage changes ;,GDP per capita: Chain volume measures - Percentage changes ;,Gross value added market sector: Chain volume measures - Percentage changes ;,Net domestic product: Chain volume measures - Percentage changes ;,Real gross domestic income: Chain volume measures - Percentage changes ;,Real gross national income: Chain volume measures - Percentage changes ;,Real net national disposable income: Chain volume measures - Percentage changes ;,Real net national disposable income per capita: Chain volume measures - Percentage changes ;,Gross domestic product: Current prices - Percentage Changes ;,Hours worked: Index - Percentage changes ;,Hours worked market sector: Index - Percentage changes ;,GDP per hour worked: Index - Percentage changes ;,Gross value added per hour worked market sector: Index - Percentage changes ;,Real unit of labour costs: Index - Percentage changes ;,Real unit of labour costs - Non-farm: Index - Percentage changes ;,Terms of trade: Index - Percentage changes ;,Gross domestic product: Chain volume measures ;,GDP per capita: Chain volume measures ;,Gross value added market sector: Chain volume measures ;,Net domestic product: Chain volume measures ;,Real gross domestic income: Chain volume measures ;,Real gross national income: Chain volume measures ;,Real net national disposable income: Chain volume measures ;,Real net national disposable income per capita: Chain volume measures ;,Gross domestic product: Current prices ;,GDP per capita: Current prices ;,Gross national income: Current prices ;,Net saving: Current prices ;,Household saving ratio: Ratio ;,Hours worked: Index ;,Hours worked market sector: Index ;,GDP per hour worked: Index ;,Gross value added per hour worked market sector: Index ;,Real unit of labour costs: Index ;,Real unit of labour costs - Non-farm: Index ;,Terms of trade: Index ;,Gross domestic product: Chain volume measures - Percentage changes ;,GDP per capita: Chain volume measures - Percentage changes ;,Gross value added market sector: Chain volume measures - Percentage changes ;,Net domestic product: Chain volume measures - Percentage changes ;,Real gross domestic income: Chain volume measures - Percentage changes ;,Real gross national income: Chain volume measures - Percentage changes ;,Real net national disposable income: Chain volume measures - Percentage changes ;,Real net national disposable income per capita: Chain volume measures - Percentage changes ;,Gross domestic product: Current prices - Percentage Changes ;,Hours worked: Index - Percentage changes ;,Hours worked market sector: Index - Percentage changes ;,GDP per hour worked: Index - Percentage changes ;,Gross value added per hour worked market sector: Index - Percentage changes ;,Gross domestic product: Index - Percentage changes ;,Domestic final demand: Index - Percentage changes ;,Terms of trade: Index - Percentage changes ;,Gross domestic product: Chain volume measures ;,GDP per capita: Chain volume measures ;,Gross value added market sector: Chain volume measures ;,Net domestic product: Chain volume measures ;,Real gross domestic income: Chain volume measures ;,Real gross national income: Chain volume measures ;,Real net national disposable income: Chain volume measures ;,Real net national disposable income per capita: Chain volume measures ;,Gross domestic product: Current prices ;,GDP per capita: Current prices ;,Gross national income: Current prices ;,Net saving: Current prices ;,Household saving ratio: Ratio ;,Hours worked: Index ;,Hours worked market sector: Index ;,GDP per hour worked: Index ;,Gross value added per hour worked market sector: Index ;,Gross domestic product: Index ;,Domestic final demand: Index ;,Terms of trade: Index ;,Gross domestic product: Chain volume measures - Percentage changes ;,GDP per capita: Chain volume measures - Percentage changes ;,Gross value added market sector: Chain volume measures - Percentage changes ;,Net domestic product: Chain volume measures - Percentage changes ;,Real gross domestic income: Chain volume measures - Percentage changes ;,Real gross national income: Chain volume measures - Percentage changes ;,Real net national disposable income: Chain volume measures - Percentage changes ;,Real net national disposable income per capita: Chain volume measures - Percentage changes ;,Gross domestic product: Current prices - Percentage Changes ;,Hours worked: Index - Percentage changes ;,Hours worked market sector: Index - Percentage changes ;,GDP per hour worked: Index - Percentage changes ;,Gross value added per hour worked market sector: Index - Percentage changes ;,Gross domestic product: Index - Percentage changes ;,Domestic final demand: Index - Percentage changes ;,Terms of trade: Index - Percentage changes ;,Gross domestic product: Chain volume measures ;,GDP per capita: Chain volume measures ;,Gross value added market sector: Chain volume measures ;,Net domestic product: Chain volume measures ;,Real gross domestic income: Chain volume measures ;,Real gross national income: Chain volume measures ;,Real net national disposable income: Chain volume measures ;,Real net national disposable income per capita: Chain volume measures ;,Gross domestic product: Current prices ;,GDP per capita: Current prices ;,Gross national income: Current prices ;,Net saving: Current prices ;,Household saving ratio: Ratio ;,Hours worked: Index ;,Hours worked market sector: Index ;,GDP per hour worked: Index ;,Gross value added per hour worked market sector: Index ;,Gross domestic product: Index ;,Domestic final demand: Index ;,Terms of trade: Index ;
Unit,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,$ Millions,$,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$,$ Millions,$,$ Millions,$ Millions,proportion,Index Numbers,Index Numbers,Index Numbers,Index Numbers,Index Numbers,Index Numbers,Index Numbers,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,$ Millions,$,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$,$ Millions,$,$ Millions,$ Millions,proportion,Index Numbers,Index Numbers,Index Numbers,Index Numbers,Index Numbers,Index Numbers,Index Numbers,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,$ Millions,$,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$,$ Millions,$,$ Millions,$ Millions,proportion,Index Numbers,Index Numbers,Index Numbers,Index Numbers,Index Numbers,Index Numbers,Index Numbers
Series Type,Trend,Trend,Trend,Trend,Trend,Trend,Trend,Trend,Trend,Trend,Trend,Trend,Trend,Trend,Trend,Trend,Trend,Trend,Trend,Trend,Trend,Trend,Trend,Trend,Trend,Trend,Trend,Trend,Trend,Trend,Trend,Trend,Trend,Trend,Trend,Trend,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original
Data Type,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED,DERIVED
Frequency,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter,Quarter
Collection Month,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Series Start,Dec-1959,Dec-1973,Dec-1994,Dec-1985,Sep-1959,Dec-1985,Dec-1985,Dec-1985,Dec-1959,Dec-1978,Dec-1978,Jun-1978,Dec-1994,Dec-1985,Dec-1985,Dec-1959,Sep-1959,Sep-1973,Sep-1994,Sep-1985,Sep-1959,Sep-1985,Sep-1985,Sep-1985,Sep-1959,Sep-1973,Sep-1959,Sep-1959,Sep-1973,Sep-1978,Sep-1978,Mar-1978,Sep-1994,Sep-1985,Sep-1985,Sep-1959,Dec-1959,Dec-1973,Dec-1994,Dec-1985,Sep-1959,Dec-1985,Dec-1985,Dec-1985,Dec-1959,Dec-1978,Dec-1978,Dec-1978,Dec-1994,Dec-1985,Dec-1985,Dec-1959,Sep-1959,Sep-1973,Sep-1994,Sep-1985,Sep-1959,Sep-1985,Sep-1985,Sep-1985,Sep-1959,Sep-1973,Sep-1959,Sep-1959,Sep-1959,Sep-1978,Sep-1978,Sep-1978,Sep-1994,Sep-1985,Sep-1985,Sep-1959,Dec-1959,Dec-1959,Dec-1994,Dec-1985,Sep-1959,Dec-1985,Dec-1985,Dec-1985,Dec-1959,Jun-1978,Jun-1978,Jun-1978,Dec-1994,Dec-1985,Dec-1985,Dec-1959,Sep-1959,Sep-1959,Sep-1994,Sep-1985,Sep-1959,Sep-1985,Sep-1985,Sep-1985,Sep-1959,Sep-1959,Sep-1959,Sep-1959,Sep-1959,Mar-1978,Mar-1978,Mar-1978,Sep-1994,Sep-1985,Sep-1985,Sep-1959
Series End,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012,Dec-2012
No. Obs,213,157,73,109,214,109,109,109,213,137,137,139,73,109,109,213,214,158,74,110,214,110,110,110,214,158,214,214,158,138,138,140,74,110,110,214,213,157,73,109,214,109,109,109,213,137,137,137,73,109,109,213,214,158,74,110,214,110,110,110,214,158,214,214,214,138,138,138,74,110,110,214,213,213,73,109,214,109,109,109,213,139,139,139,73,109,109,213,214,214,74,110,214,110,110,110,214,214,214,214,214,140,140,140,74,110,110,214
Series ID,A2298668K,A2304308C,A3606044K,A2304312V,A2304314X,A2304316C,A2304318J,A2304320V,A2304322X,A2304324C,A2304326J,A2304328L,A3606048V,A2435282T,A2435266T,A2304332C,A2304334J,A2304336L,A3606046R,A2304340C,A2304342J,A2304344L,A2304346T,A2304348W,A2304350J,A2304352L,A2304354T,A2304356W,A2323384K,A2304360L,A2304362T,A2304364W,A3606050F,A2432928L,A2432930X,A2304368F,A2304370T,A2304372W,A3606052K,A2304376F,A2304378K,A2304380W,A2304382A,A2304384F,A2304386K,A2304388R,A2304390A,A2304392F,A3606054R,A2304396R,A2304398V,A2304400V,A2304402X,A2304404C,A3606056V,A2304408L,A2304410X,A2304412C,A2304414J,A2304416L,A2304418T,A2304420C,A2304422J,A2304424L,A2323382F,A2304428W,A2304190J,A2304192L,A3606058X,A2304196W,A2304198A,A2304200A,A2302696F,A2302697J,A3606060K,A2302699L,A2302700K,A2302701L,A2302702R,A2302703T,A2302704V,A2302705W,A2302453L,A2302454R,A3606061L,A2302456V,A2302457W,A2302458X,A2302459A,A2302460K,A3606062R,A2302462R,A2302463T,A2302464V,A2302465W,A2302466X,A2302467A,A2302468C,A2302469F,A2302470R,A2323381C,A2302472V,A2302473W,A2302474X,A3606063T,A2302476C,A2302477F,A2302478J
Sep-1959,,,,,,,,,,,,,,,,,57350,,,,,,,,3964,,4013,658,,,,,,,,56.5,,,,,,,,,,,,,,,,,57355,,,,,,,,3979,,4018,659,16.5,,,,,,,57.4,,,,,,,,,,,,,,,,,56943,5634,,,,,,,3985,394,4122,814,22.2,,,,,,,58.5
Dec-1959,1.8,,,,,,,,2.7,,,,,,,2.4,58375,,,,,,,,4071,,4105,673,,,,,,,,57.8,1.9,,,,,,,,2.4,,,,,,,-1.9,58440,,,,,,,,4075,,4108,679,15.2,,,,,,,56.4,12.6,12.0,,,,,,,13.1,,,,,,,-2.3,64093,6308,,,,,,,4507,444,4563,969,23.1,,,,,,,57.2
Mar-1960,1.9,,,,,,,,2.8,,,,,,,1.5,59467,,,,,,,,4184,,4206,699,,,,,,,,58.7,1.2,,,,,,,,1.6,,,,,,,6.2,59121,,,,,,,,4140,,4187,679,14.4,,,,,,,59.9,-12.1,-12.6,,,,,,,-13.0,,,,,,,2.2,56325,5512,,,,,,,3922,384,3927,541,10.7,,,,,,,58.4
