ASCO Second Edition Major Groups,1 Managers,2 Professionals,3 Technicians and Trades Workers,4 Community and Personal Service Workers,5 Clerical and Administrative Workers,6 Sales Workers,7 Machinery Operators and Drivers,8 Labourers,& Not stated,0 Inadequately described
1 Managers and Administrators,97.65,2.34,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2 Professionals,0.82,97.61,0.15,1.31,0.06,0.05,0.01,0.00,0.00,0.00
3 Associate Professionals,35.45,7.39,20.43,12.78,17.77,6.18,0.00,0.00,0.00,0.00
4 Tradespersons and Related Workers,0.18,0.01,96.76,1.72,0.09,0.00,0.65,0.60,0.00,0.00
5 Advanced Clerical and Service Workers,0.00,0.00,0.53,2.72,92.32,4.43,0.00,0.00,0.00,0.00
"6 Intermediate Clerical, Sales and Service Workers",0.02,0.01,0.82,35.75,52.67,10.34,0.00,0.38,0.00,0.00
7 Intermediate Production and Transport Workers,0.00,0.00,0.18,0.02,3.07,0.09,80.71,15.93,0.00,0.00
"8 Elementary Clerical, Sales and Service Workers",0.00,0.00,0.16,7.33,8.28,76.34,0.33,7.56,0.00,0.00
9 Labourers and Related Workers,0.00,0.00,0.00,0.03,0.00,0.00,0.02,99.95,0.00,0.00
& Not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
0 Inadequately described,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
