ANZSCO2,Title
11,"Chief Executives, General Managers and Legislators"
12,Farmers and Farm Managers
13,Specialist Managers
14,"Hospitality, Retail and Service Managers"
21,Arts and Media Professionals
22,"Business, Human Resource and Marketing Professionals"
23,"Design, Engineering, Science and Transport Professionals"
24,Education Professionals
25,Health Professionals
26,ICT Professionals
27,"Legal, Social and Welfare Professionals"
31,"Engineering, ICT and Science Technicians"
32,Automotive and Engineering Trades Workers
33,Construction Trades Workers
34,Electrotechnology and Telecommunications Trades Workers
35,Food Trades Workers
36,Skilled Animal and Horticultural Workers
39,Other Technicians and Trades Workers
41,Health and Welfare Support Workers
42,Carers and Aides
43,Hospitality Workers
44,Protective Service Workers
45,Sports and Personal Service Workers
51,Office Managers and Program Administrators
52,Personal Assistants and Secretaries
53,General Clerical Workers
54,Inquiry Clerks and Receptionists
55,Numerical Clerks
56,Clerical and Office Support Workers
59,Other Clerical and Administrative Workers
61,Sales Representatives and Agents
62,Sales Assistants and Salespersons
63,Sales Support Workers
71,Machine and Stationary Plant Operators
72,Mobile Plant Operators
73,Road and Rail Drivers
74,Storepersons
81,Cleaners and Laundry Workers
82,Construction and Mining Labourers
83,Factory Process Workers
84,"Farm, Forestry and Garden Workers"
85,Food Preparation Assistants
89,Other Labourers
