ANZSCO3,Description
111,"Chief Executives, General Managers and Legislators"
121,Farmers and Farm Managers
131,"Advertising, Public Relations and Sales Managers"
132,Business Administration Managers
133,"Construction, Distribution and Production Managers"
134,"Education, Health and Welfare Services Managers"
135,ICT Managers
139,Miscellaneous Specialist Managers
141,Accommodation and Hospitality Managers
142,Retail Managers
149,"Miscellaneous Hospitality, Retail and Service Managers"
211,Arts Professionals
212,Media Professionals
221,"Accountants, Auditors and Company Secretaries"
222,"Financial Brokers and Dealers, and Investment Advisers"
223,Human Resource and Training Professionals
224,Information and Organisation Professionals
225,"Sales, Marketing and Public Relations Professionals"
231,Air and Marine Transport Professionals
232,"Architects, Designers, Planners and Surveyors"
233,Engineering Professionals
234,Natural and Physical Science Professionals
241,School Teachers
242,Tertiary Education Teachers
249,Miscellaneous Education Professionals
251,Health Diagnostic and Promotion Professionals
252,Health Therapy Professionals
253,Medical Practitioners
254,Midwifery and Nursing Professionals
261,"Business and Systems Analysts, and Programmers"
262,"Database and Systems Administrators, and ICT Security Specialists"
263,ICT Network and Support Professionals
271,Legal Professionals
272,Social and Welfare Professionals
311,"Agricultural, Medical and Science Technicians"
312,Building and Engineering Technicians
313,ICT and Telecommunications Technicians
321,Automotive Electricians and Mechanics
322,Fabrication Engineering Trades Workers
323,Mechanical Engineering Trades Workers
324,"Panelbeaters, and Vehicle Body Builders, Trimmers and Painters"
331,"Bricklayers, and Carpenters and Joiners"
332,Floor Finishers and Painting Trades Workers
333,"Glaziers, Plasterers and Tilers"
334,Plumbers
341,Electricians
342,Electronics and Telecommunications Trades Workers
351,Food Trades Workers
361,"Animal Attendants and Trainers, and Shearers"
362,Horticultural Trades Workers
391,Hairdressers
392,Printing Trades Workers
393,"Textile, Clothing and Footwear Trades Workers"
394,Wood Trades Workers
399,Miscellaneous Technicians and Trades Workers
411,Health and Welfare Support Workers
421,Child Carers
422,Education Aides
423,Personal Carers and Assistants
431,Hospitality Workers
441,"Defence Force Members, Fire Fighters and Police"
442,Prison and Security Officers
451,Personal Service and Travel Workers
452,Sports and Fitness Workers
511,"Contract, Program and Project Administrators"
512,Office and Practice Managers
521,Personal Assistants and Secretaries
531,General Clerks
532,Keyboard Operators
541,Call or Contact Centre Information Clerks
542,Receptionists
551,Accounting Clerks and Bookkeepers
552,Financial and Insurance Clerks
561,Clerical and Office Support Workers
591,Logistics Clerks
599,Miscellaneous Clerical and Administrative Workers
611,Insurance Agents and Sales Representatives
612,Real Estate Sales Agents
621,Sales Assistants and Salespersons
631,Checkout Operators and Office Cashiers
639,Miscellaneous Sales Support Workers
711,Machine Operators
712,Stationary Plant Operators
721,Mobile Plant Operators
731,"Automobile, Bus and Rail Drivers"
732,Delivery Drivers
733,Truck Drivers
741,Storepersons
811,Cleaners and Laundry Workers
821,Construction and Mining Labourers
831,Food Process Workers
832,Packers and Product Assemblers
839,Miscellaneous Factory Process Workers
841,"Farm, Forestry and Garden Workers"
851,Food Preparation Assistants
891,Freight Handlers and Shelf Fillers
899,Miscellaneous Labourers
