ANZSCO4,Title,ONET,ONET.Title,Available.WA,Alt.ONET,Alt.ONET.Title
1111,Chief Executives and Managing Directors,11-1011.00,Chief Executives,Yes,11-1011.00,Chief Executives
1112,General Managers,11-1021.00,General and Operations Managers,Yes,11-1021.00,General and Operations Managers
1113,Legislators,11-1031.00,Legislators,No,11-1011.00,Chief Executives
1211,Aquaculture Farmers,11-9013.03,Aquacultural Managers,Yes,11-9013.03,Aquacultural Managers
1212,Crop Farmers,11-9013.02,Farm and Ranch Managers,No,11-9013.01,Nursery and Greenhouse Managers
1213,Livestock Farmers,11-9013.02,Farm and Ranch Managers,No,11-9013.01,Nursery and Greenhouse Managers
1214,Mixed Crop and Livestock Farmers,11-9013.02,Farm and Ranch Managers,No,11-9013.01,Nursery and Greenhouse Managers
1311,"Advertising, Public Relations and Sales Managers",11-2011.00,Advertising and Promotions Managers,Yes,11-2011.00,Advertising and Promotions Managers
1321,Corporate Services Managers,11-3011.00,Administrative Services Managers,Yes,11-3011.00,Administrative Services Managers
1322,Finance Managers,11-3031.00,Financial Managers,No,11-3031.02,"Financial Managers, Branch or Department"
1323,Human Resource Managers,11-3121.00,Human Resources Managers,Yes,11-3121.00,Human Resources Managers
1324,Policy and Planning Managers,11-3011.00,Administrative Services Managers,Yes,11-3011.00,Administrative Services Managers
1325,Research and Development Managers,11-9039.00,"Education Administrators, All Other",No,11-9033.00,"Education Administrators, Postsecondary"
1331,Construction Managers,11-9021.00,Construction Managers,Yes,11-9021.00,Construction Managers
1332,Engineering Managers,11-9041.00,Architectural and Engineering Managers,Yes,11-9041.00,Architectural and Engineering Managers
1333,"Importers, Exporters and Wholesalers",11-3061.00,Purchasing Managers,Yes,11-3061.00,Purchasing Managers
1334,Manufacturers,11-3051.00,Industrial Production Managers,Yes,11-3051.00,Industrial Production Managers
1335,Production Managers,11-3051.00,Industrial Production Managers,Yes,11-3051.00,Industrial Production Managers
1336,Supply and Distribution Managers,11-3071.01,Transportation Managers,Yes,11-3071.01,Transportation Managers
1341,Child Care Centre Managers,11-9031.00,"Education Administrators, Preschool and Childcare Center/Program",Yes,11-9031.00,"Education Administrators, Preschool and Childcare Center/Program"
1342,Health and Welfare Services Managers,11-9111.00,Medical and Health Services Managers,Yes,11-9111.00,Medical and Health Services Managers
1343,School Principals,11-9032.00,"Education Administrators, Elementary and Secondary School",Yes,11-9032.00,"Education Administrators, Elementary and Secondary School"
1344,Other Education Managers,11-9039.00,"Education Administrators, All Other",No,11-9032.00,"Education Administrators, Elementary and Secondary School"
1351,ICT Managers,11-3021.00,Computer and Information Systems Managers,Yes,11-3021.00,Computer and Information Systems Managers
1391,Commissioned Officers (Management),55-1015.00,Command and Control Center Officers,No,8,#N/A
1392,Senior Non-commissioned Defence Force Members,55-1019.00,"Military Officer Special and Tactical Operations Leaders, All Other",No,9,#N/A
1399,Other Specialist Managers,55-3019.00,"Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members, All Other",No,10,#N/A
1411,Cafe and Restaurant Managers,11-9051.00,Food Service Managers,Yes,11-9051.00,Food Service Managers
1412,Caravan Park and Camping Ground Managers,11-9081.00,Lodging Managers,Yes,11-9081.00,Lodging Managers
1413,Hotel and Motel Managers,11-9081.00,Lodging Managers,Yes,11-9081.00,Lodging Managers
1414,Licensed Club Managers,11-9051.00,Food Service Managers,Yes,11-9051.00,Food Service Managers
1419,Other Accommodation and Hospitality Managers,11-9081.00,Lodging Managers,Yes,11-9081.00,Lodging Managers
1421,Retail Managers,41-1011.00,First-Line Supervisors of Retail Sales Workers,Yes,41-1011.00,First-Line Supervisors of Retail Sales Workers
1491,"Amusement, Fitness and Sports Centre Managers",39-3091.00,Amusement and Recreation Attendants,Yes,39-3091.00,Amusement and Recreation Attendants
1492,Call or Contact Centre and Customer Service Managers,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,Yes,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers
1493,Conference and Event Organisers,13-1121.00,"Meeting, Convention, and Event Planners",Yes,13-1121.00,"Meeting, Convention, and Event Planners"
1494,Transport Services Managers,11-3071.01,Transportation Managers,Yes,11-3071.01,Transportation Managers
1499,"Other Hospitality, Retail and Service Managers",39-1021.00,First-Line Supervisors of Personal Service Workers,Yes,39-1021.00,First-Line Supervisors of Personal Service Workers
2111,"Actors, Dancers and Other Entertainers",27-2011.00,Actors,Yes,27-2011.00,Actors
2112,Music Professionals,27-2042.02,"Musicians, Instrumental",Yes,27-2042.02,"Musicians, Instrumental"
2113,Photographers,27-4021.00,Photographers,Yes,27-4021.00,Photographers
2114,Visual Arts and Crafts Professionals,27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",Yes,27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators"
2121,"Artistic Directors, and Media Producers and Presenters",27-1011.00,Art Directors,Yes,27-1011.00,Art Directors
2122,"Authors, and Book and Script Editors",27-3041.00,Editors,Yes,27-3041.00,Editors
2123,"Film, Television, Radio and Stage Directors",27-2012.05,Technical Directors/Managers,Yes,27-2012.05,Technical Directors/Managers
2124,Journalists and Other Writers,27-3022.00,Reporters and Correspondents,Yes,27-3022.00,Reporters and Correspondents
2211,Accountants,13-2011.01,Accountants,Yes,13-2011.01,Accountants
2212,"Auditors, Company Secretaries and Corporate Treasurers",13-2011.01,Accountants,Yes,13-2011.01,Accountants
2221,Financial Brokers,43-4011.00,Brokerage Clerks,Yes,43-4011.00,Brokerage Clerks
2222,Financial Dealers,41-3031.01,"Sales Agents, Securities and Commodities",Yes,41-3031.01,"Sales Agents, Securities and Commodities"
2223,Financial Investment Advisers and Managers,13-2052.00,Personal Financial Advisors,Yes,13-2052.00,Personal Financial Advisors
2231,Human Resource Professionals,13-1071.00,Human Resources Specialists,Yes,13-1071.00,Human Resources Specialists
2232,ICT Trainers,25-9031.00,Instructional Coordinators,Yes,25-9031.00,Instructional Coordinators
2233,Training and Development Professionals,25-9031.00,Instructional Coordinators,Yes,25-9031.00,Instructional Coordinators
2241,"Actuaries, Mathematicians and Statisticians",15-2011.00,Actuaries,Yes,15-2011.00,Actuaries
2242,"Archivists, Curators and Records Managers",25-4012.00,Curators,Yes,25-4012.00,Curators
2243,Economists,19-3011.00,Economists,Yes,19-3011.00,Economists
2244,Intelligence and Policy Analysts,33-3021.06,Intelligence Analysts,Yes,33-3021.06,Intelligence Analysts
2245,Land Economists and Valuers,13-2021.02,"Appraisers, Real Estate",Yes,13-2021.02,"Appraisers, Real Estate"
2246,Librarians,25-4021.00,Librarians,Yes,25-4021.00,Librarians
2247,Management and Organisation Analysts,13-1111.00,Management Analysts,Yes,13-1111.00,Management Analysts
2249,Other Information and Organisation Professionals,15-2031.00,Operations Research Analysts,Yes,15-2031.00,Operations Research Analysts
2251,Advertising and Marketing Professionals,13-1161.00,Market Research Analysts and Marketing Specialists,Yes,13-1161.00,Market Research Analysts and Marketing Specialists
2252,ICT Sales Professionals,41-9031.00,Sales Engineers,Yes,41-9031.00,Sales Engineers
2253,Public Relations Professionals,27-3031.00,Public Relations Specialists,Yes,27-3031.00,Public Relations Specialists
2254,Technical Sales Representatives,41-9031.00,Sales Engineers,Yes,41-9031.00,Sales Engineers
2311,Air Transport Professionals,53-2011.00,"Airline Pilots, Copilots, and Flight Engineers",Yes,53-2011.00,"Airline Pilots, Copilots, and Flight Engineers"
2312,Marine Transport Professionals,53-5021.01,Ship and Boat Captains,Yes,53-5021.01,Ship and Boat Captains
2321,Architects and Landscape Architects,17-1011.00,"Architects, Except Landscape and Naval",Yes,17-1011.00,"Architects, Except Landscape and Naval"
2322,Surveyors and Spatial Scientists,17-1022.00,Surveyors,Yes,17-1022.00,Surveyors
2323,"Fashion, Industrial and Jewellery Designers",27-1022.00,Fashion Designers,Yes,27-1022.00,Fashion Designers
2324,"Graphic and Web Designers, and Illustrators",27-1024.00,Graphic Designers,Yes,27-1024.00,Graphic Designers
2325,Interior Designers,27-1025.00,Interior Designers,Yes,27-1025.00,Interior Designers
2326,Urban and Regional Planners,19-3051.00,Urban and Regional Planners,Yes,19-3051.00,Urban and Regional Planners
2331,Chemical and Materials Engineers,17-2041.00,Chemical Engineers,Yes,17-2041.00,Chemical Engineers
2332,Civil Engineering Professionals,17-2051.00,Civil Engineers,Yes,17-2051.00,Civil Engineers
2333,Electrical Engineers,17-2071.00,Electrical Engineers,Yes,17-2071.00,Electrical Engineers
2334,Electronics Engineers,17-2072.00,"Electronics Engineers, Except Computer",Yes,17-2072.00,"Electronics Engineers, Except Computer"
2335,"Industrial, Mechanical and Production Engineers",17-2112.00,Industrial Engineers,Yes,17-2112.00,Industrial Engineers
2336,Mining Engineers,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",Yes,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers"
2339,Other Engineering Professionals,17-2199.04,Manufacturing Engineers,Yes,17-2199.04,Manufacturing Engineers
2341,Agricultural and Forestry Scientists,17-2021.00,Agricultural Engineers,Yes,17-2021.00,Agricultural Engineers
2342,"Chemists, and Food and Wine Scientists",19-1012.00,Food Scientists and Technologists,Yes,19-1012.00,Food Scientists and Technologists
2343,Environmental Scientists,19-2041.00,"Environmental Scientists and Specialists, Including Health",Yes,19-2041.00,"Environmental Scientists and Specialists, Including Health"
2344,Geologists and Geophysicists,19-2042.00,"Geoscientists, Except Hydrologists and Geographers",Yes,19-2042.00,"Geoscientists, Except Hydrologists and Geographers"
2345,Life Scientists,19-1020.01,Biologists,Yes,19-1020.01,Biologists
2346,Medical Laboratory Scientists,29-2011.00,Medical and Clinical Laboratory Technologists,Yes,29-2011.00,Medical and Clinical Laboratory Technologists
2347,Veterinarians,29-1131.00,Veterinarians,Yes,29-1131.00,Veterinarians
2349,Other Natural and Physical Science Professionals,19-2032.00,Materials Scientists,Yes,19-2032.00,Materials Scientists
2411,Early Childhood (Pre-primary School) Teachers,25-2011.00,"Preschool Teachers, Except Special Education",Yes,25-2011.00,"Preschool Teachers, Except Special Education"
2412,Primary School Teachers,25-2021.00,"Elementary School Teachers, Except Special Education",Yes,25-2021.00,"Elementary School Teachers, Except Special Education"
2413,Middle School Teachers (Aus) / Intermediate School Teachers (NZ),25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education",Yes,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education"
2414,Secondary School Teachers,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education",Yes,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education"
2415,Special Education Teachers,25-2053.00,"Special Education Teachers, Middle School",Yes,25-2053.00,"Special Education Teachers, Middle School"
