ONET,ANZSCO
11-1011.00,1111
11-1021.00,1112
11-1031.00,1113
11-9013.03,1211
11-9013.02,1212
11-9013.02,1213
11-9013.02,1214
11-2011.00,1311
11-3011.00,1321
11-3031.00,1322
11-3121.00,1323
11-3011.00,1324
11-9039.00,1325
11-9021.00,1331
11-9041.00,1332
11-3061.00,1333
11-3051.00,1334
11-3051.00,1335
11-3071.01,1336
11-9031.00,1341
11-9111.00,1342
11-9032.00,1343
11-9039.00,1344
11-3021.00,1351
55-1015.00,1391
55-1019.00,1392
55-3019.00,1399
11-9051.00,1411
11-9081.00,1412
11-9081.00,1413
11-9051.00,1414
11-9081.00,1419
41-1011.00,1421
39-3091.00,1491
55-3019.00,1492
11-9199.00,1493
11-3071.00,1494
11-9199.00,1499
27-2011.00,2111
27-2042.00,2112
27-4021.00,2113
27-1013.00,2114
27-1011.00,2121
27-3043.00,2122
27-2012.00,2123
27-3022.00,2124
13-2011.01,2211
13-2011.00,2212
43-4011.00,2221
41-3031.00,2222
11-9199.03,2223
13-1071.00,2231
25-9031.01,2232
25-9031.00,2233
15-2011.00,2241
25-4012.00,2242
19-3011.00,2243
33-3021.06,2244
13-2021.00,2245
25-4021.00,2246
13-1111.00,2247
15-2031.00,2249
13-1161.00,2251
41-9031.00,2252
27-3031.00,2253
41-9031.00,2254
53-2011.00,2311
53-5021.00,2312
17-1011.00,2321
17-1022.00,2322
27-1022.00,2323
27-1024.00,2324
27-1025.00,2325
19-3051.00,2326
17-2041.00,2331
17-2051.00,2332
17-2071.00,2333
17-2072.00,2334
17-2112.00,2335
17-2151.00,2336
17-2199.00,2339
17-2021.00,2341
19-1012.00,2342
19-2041.00,2343
19-2042.00,2344
19-1099.00,2345
29-2011.00,2346
29-1131.00,2347
19-1029.00,2349
25-2011.00,2411
25-2021.00,2412
25-2022.00,2413
25-2031.00,2414
25-2053.00,2415
25-1199.00,2421
25-1194.00,2422
25-9031.00,2491
25-3099.02,2492
25-3011.00,2493
29-1031.00,2511
29-2032.00,2512
29-9011.00,2513
29-1041.00,2514
29-1051.00,2515
29-1199.00,2519
29-1011.00,2521
29-1129.00,2522
29-1029.00,2523
29-1122.00,2524
29-1123.00,2525
29-1081.00,2526
29-1181.00,2527
29-1062.00,2531
29-1061.00,2532
29-1069.00,2533
29-1066.00,2534
29-1067.00,2535
29-1069.00,2539
29-9099.01,2541
25-1072.00,2542
29-1141.00,2543
29-1141.00,2544
15-1121.00,2611
15-1134.00,2612
15-1132.00,2613
15-1141.00,2621
15-1152.00,2631
15-1199.01,2632
15-1143.01,2633
23-1011.00,2711
23-1012.00,2712
23-1011.00,2713
21-1019.00,2721
21-2011.00,2722
19-3031.02,2723
19-3041.00,2724
21-1029.00,2725
21-1099.00,2726
45-2091.00,3111
51-9082.00,3112
19-4011.01,3113
19-4099.00,3114
17-3031.01,3121
17-3022.00,3122
17-3023.03,3123
17-3023.01,3124
17-3027.00,3125
17-2111.01,3126
17-3029.05,3129
15-1151.00,3131
15-1152.00,3132
49-3023.02,3211
49-3023.00,3212
51-2041.00,3221
47-2211.00,3222
47-2221.00,3223
49-3011.00,3231
51-4041.00,3232
51-4199.00,3233
51-4194.00,3234
49-3021.00,3241
49-3021.00,3242
51-9122.00,3243
47-2021.00,3311
47-2031.00,3312
47-2043.00,3321
51-9123.00,3322
47-2121.00,3331
47-2161.00,3332
47-2181.00,3333
47-2044.00,3334
47-2152.02,3341
47-2111.00,3411
49-9021.01,3421
49-9051.00,3422
49-2093.00,3423
49-9052.00,3424
51-3011.00,3511
51-3011.00,3512
35-1011.00,3513
35-2019.00,3514
39-2011.00,3611
45-2093.00,3612
31-9096.00,3613
27-1023.00,3621
37-3011.00,3622
37-3011.00,3623
45-2092.01,3624
39-5012.00,3911
51-9194.00,3921
