year,clphsg_exp1,clphsg_exp_m1,clphsg_exp_f1,clphsg_exp3,clphsg_exp_m3,clphsg_exp_f3
1963,.40379333,.38547277,.42659664,.4075017,.2784729,.49639463
1964,.4037075,.35891771,.45849037,.4424634,.36553383,.45323324
1965,.39521551,.34440136,.45737982,.47623682,.3796134,.51312542
1966,.39975309,.37597227,.42926168,.44916677,.35354328,.48079777
1967,.40251303,.38130856,.42893648,.52283382,.45475531,.51704216
1968,.44531345,.41178465,.48659086,.49703074,.41391039,.50916672
1969,.41726732,.37715673,.46656322,.49866867,.42538548,.49626112
1970,.41690302,.40878201,.4274888,.5083828,.43703556,.50345421
1971,.43668175,.41820574,.45973635,.52313757,.44752169,.52536488
1972,.4178853,.38476229,.45868778,.52357197,.45180225,.51609325
1973,.42588568,.38085461,.48113298,.50639439,.44398975,.48228025
1974,.39458752,.35611105,.44187832,.50768518,.45065355,.47688341
1975,.37963152,.33496571,.43433857,.49269581,.43390703,.47113419
1976,.36335135,.3339715,.39955759,.49957848,.42911005,.49173546
1977,.35839939,.32922649,.39436388,.46979666,.39327145,.46685934
1978,.3636651,.33408737,.40013599,.46568918,.40091848,.44772387
1979,.35417509,.29944849,.4210434,.46877813,.40939522,.44445658
1980,.36583138,.32161856,.41995335,.46634817,.41954327,.42473555
1981,.4055891,.36998749,.44927549,.44532108,.40050554,.4032464
1982,.42957735,.40849161,.45564556,.48112297,.4215765,.46282148
1983,.45983267,.45325708,.46834755,.50057411,.45883512,.46353817
1984,.47332716,.45990753,.49008179,.51635695,.4706111,.47970486
1985,.52822208,.53028297,.52620125,.48882294,.43897772,.46466494
1986,.57887268,.56902504,.59125328,.48622274,.43751144,.46300983
1987,.55580187,.55402756,.558465,.50357199,.45999384,.47636557
1988,.56128407,.55465651,.56978369,.5218668,.48053122,.49385452
1989,.60063314,.5759902,.63090992,.52325487,.4744854,.50602245
1990,.5790391,.55829525,.60454082,.52792072,.49151897,.50272512
1991,.61455536,.61545563,.61385155,.56123447,.51445627,.55313492
1992,.60818958,.59417343,.62548685,.56331635,.53237438,.53113985
1993,.65643692,.64107561,.67537737,.55919981,.53603506,.52103233
1994,.60569143,.58003664,.63709545,.59346724,.55010986,.58231354
1995,.64351463,.63443184,.6549058,.57174349,.52918005,.55968094
1996,.6422863,.63786554,.64812088,.56136513,.50070047,.58296061
1997,.64050388,.62840509,.65557194,.58095026,.52799416,.58657455
1998,.62143564,.62681484,.61540461,.62949276,.59629965,.60744572
1999,.67367125,.65863085,.69232988,.63767672,.60488892,.61359692
2000,.68724251,.67502451,.70247221,.63196087,.60655737,.59785271
2001,.66574574,.66328001,.66912317,.66235542,.63411856,.63771629
2002,.65934324,.657866,.66153955,.66546869,.6455307,.62939215
2003,.65436602,.64767742,.66283178,.64033365,.62041044,.60809565
2004,.64234304,.63203526,.65522003,.68805122,.67279673,.64742517
2005,.66808701,.66763973,.66903257,.69575834,.6981864,.62802649
2006,.66569948,.6668067,.66478539,.69279146,.67317867,.65888929
2007,.66480494,.66353846,.66676569,.6968894,.67110348,.66940594
2008,.69507885,.70862341,.6791153,.71325064,.70080519,.66224623
