ANZSCO,Title,Employees,Incorporated,Unincorporated,ContribFamily,Not Stated,1-199,200-299,300-399,400-599,600-799,800-999,1000-1249,1250-1500,1500-1999,2000,Nil,Total
1100,Managers nfd,18455,8807,1309,649,188,186,193,271,894,1693,2344,3454,3390,5724,10088,280,28517
1110,"Chief Executives, General Managers and Legislators nfd",187,50,4,3,0,0,3,0,3,3,10,8,9,23,183,3,245
1111,Chief Executives and Managing Directors,16828,22204,1146,725,103,218,212,251,827,1455,1831,2710,2976,5836,23886,297,40499
1112,General Managers,32663,4478,713,217,136,84,99,110,390,928,1635,2911,3603,6832,21142,163,37897
1113,Legislators,1397,10,31,0,22,3,5,17,58,61,81,98,94,177,854,3,1451
1210,Farmers and Farm Managers nfd,778,418,913,574,24,124,172,208,391,381,296,275,170,138,156,107,2418
1211,Aquaculture Farmers,673,191,237,108,10,27,47,55,161,247,172,159,92,112,87,22,1181
1212,Crop Farmers,7389,5490,11317,5599,187,1144,1507,1963,4475,5053,3983,3542,2061,1752,1699,895,28074
1213,Livestock Farmers,9583,6015,25037,13036,353,3156,3701,4361,8426,7965,6090,5414,2890,2599,3357,1878,49837
1214,Mixed Crop and Livestock Farmers,2937,4442,12925,6968,150,1407,1756,2290,4647,4105,3088,2546,1458,1270,1544,1012,25123
1310,Specialist Managers nfd,12045,2847,660,248,55,54,66,91,272,545,820,1431,1663,3447,7181,95,15665
1311,"Advertising, Public Relations and Sales Managers",75521,8196,1571,509,247,194,196,269,1039,2851,5408,9874,11221,19744,34127,373,85296
1320,Business Administration Managers nfd,2217,293,49,15,3,3,0,3,18,46,104,189,258,703,1221,4,2549
1321,Corporate Services Managers,5439,495,61,27,19,9,9,15,58,246,541,923,865,1443,1870,18,5997
1322,Finance Managers,32580,2508,313,148,80,38,42,52,186,470,1097,2534,3285,7496,20095,91,35386
1323,Human Resource Managers,28434,1543,268,56,87,40,27,37,198,593,1305,2533,3273,7713,14360,84,30163
1324,Policy and Planning Managers,14538,109,43,12,20,8,7,0,14,56,165,541,1101,5087,7680,14,14673
1325,Research and Development Managers,7336,326,53,29,18,13,6,10,35,68,184,433,750,2081,4123,11,7714
1330,"Construction, Distribution and Production Managers nfd",1211,361,69,24,9,6,9,7,31,72,108,186,208,326,685,10,1648
1331,Construction Managers,27896,19599,11969,1031,339,207,404,828,2791,4915,6072,8076,7506,11309,17005,433,59546
1332,Engineering Managers,14840,1589,174,32,39,20,15,19,70,146,337,825,1149,3036,10888,32,16537
1333,"Importers, Exporters and Wholesalers",5253,9388,2215,711,75,201,265,357,1121,1869,2141,2527,1960,2516,4065,261,17283
1334,Manufacturers,7562,6479,2975,608,77,224,294,501,1543,2798,2557,2536,1920,2253,2362,225,17213
1335,Production Managers,38477,4002,690,209,180,76,63,132,629,2307,4307,6656,6373,9109,13186,162,43000
1336,Supply and Distribution Managers,23093,1726,390,102,77,40,45,56,264,926,1891,3550,3871,5986,8418,88,25135
1340,"Education, Health and Welfare Services Managers nfd",425,29,12,0,4,0,0,5,8,14,29,50,64,147,146,4,467
1341,Child Care Centre Managers,5288,771,197,74,18,31,26,42,164,754,1514,1934,848,613,323,37,6286
1342,Health and Welfare Services Managers,13486,445,82,41,43,21,9,17,120,422,948,1899,2161,4508,3852,34,13991
1343,School Principals,17272,36,26,0,39,13,3,3,19,33,66,224,487,6824,9614,15,17301
1344,Other Education Managers,7987,311,85,14,20,14,7,20,63,166,342,755,1068,2893,3038,15,8381
1351,ICT Managers,34991,2679,435,91,72,53,33,42,142,387,859,1832,2909,8845,22811,97,38010
1390,Miscellaneous Specialist Managers nfd,99,7,3,0,0,0,0,0,0,3,3,12,9,46,32,0,105
1391,Commissioned Officers (Management),7235,8,8,0,20,6,0,13,254,433,431,514,702,2092,2794,11,7250
1392,Senior Non-commissioned Defence Force Members,2522,0,0,0,6,6,3,3,7,25,43,169,628,1373,255,6,2518
1399,Other Specialist Managers,34222,1367,472,91,100,47,54,103,363,1401,2667,4737,5198,8989,12334,90,35983
1400,"Hospitality, Retail and Service Managers nfd",971,399,231,85,7,32,37,50,116,242,269,279,214,189,171,37,1636
1410,Accommodation and Hospitality Managers nfd,284,161,81,38,4,6,12,21,44,94,93,81,63,64,56,16,550
1411,Cafe and Restaurant Managers,15068,9158,7945,2177,186,764,1064,1486,4593,7113,6799,5068,2530,1874,1463,804,33558
1412,Caravan Park and Camping Ground Managers,1230,825,577,174,13,55,115,132,482,634,451,357,180,152,119,55,2732
1413,Hotel and Motel Managers,8590,4116,2080,895,68,314,439,573,1374,2286,3387,2633,1448,1265,1236,345,15300
1414,Licensed Club Managers,4465,94,29,11,23,9,7,18,93,549,1121,1160,706,518,360,19,4560
1419,Other Accommodation and Hospitality Managers,2296,614,882,339,12,132,122,176,433,538,594,641,463,491,356,68,4014
1420,Retail Managers,94762,31288,24861,5869,787,2322,3053,4457,14811,34610,32199,24752,13385,12436,10055,2176,154256
1490,"Miscellaneous Hospitality, Retail and Service Managers nfd",242,41,12,6,0,5,3,3,8,24,29,64,44,62,59,0,301
1491,"Amusement, Fitness and Sports Centre Managers",4022,996,444,139,15,70,83,116,340,832,1088,1199,746,636,368,57,5535
1492,Call or Contact Centre and Customer Service Managers,25387,1239,385,86,88,56,42,79,493,2022,3360,4863,4431,6175,5320,99,26940
1493,Conference and Event Organisers,10237,823,574,76,31,57,65,128,461,1674,2646,2820,1739,1356,636,49,11631
1494,Transport Services Managers,4942,4023,2336,301,69,80,109,187,687,1264,1535,2021,1624,1924,1849,104,11384
1499,"Other Hospitality, Retail and Service Managers",37279,4661,2478,468,168,169,225,329,1190,2782,4401,6874,6879,9975,11451,217,44492
2000,Professionals nfd,19574,1086,971,82,90,95,99,117,604,935,1744,3666,4587,5588,4064,80,21579
2100,Arts and Media Professionals nfd,112,57,113,18,0,5,7,19,19,52,37,45,30,32,40,3,289
2110,Arts Professionals nfd,244,93,585,36,6,65,81,86,178,151,122,80,56,59,47,12,937
2111,"Actors, Dancers and Other Entertainers",1068,230,429,28,15,34,69,84,214,364,296,235,128,113,184,16,1737
2112,Music Professionals,1116,303,1122,35,8,69,102,155,282,340,339,406,329,315,195,16,2548
2113,Photographers,1699,883,2266,123,8,156,137,235,620,919,787,738,499,501,247,40,4879
2114,Visual Arts and Crafts Professionals,567,236,1779,141,13,230,280,325,500,366,277,244,144,134,95,58,2653
2120,Media Professionals nfd,922,132,209,13,6,6,13,26,55,154,141,211,192,257,215,4,1274
2121,"Artistic Directors, and Media Producers and Presenters",5493,993,654,63,16,45,59,65,227,507,734,967,1034,1667,1809,30,7144
2122,"Authors, and Book and Script Editors",1093,277,829,64,11,62,71,75,152,258,317,433,308,309,229,22,2236
2123,"Film, Television, Radio and Stage Directors",4085,892,876,48,19,51,70,108,308,596,752,984,880,1209,874,24,5856
2124,Journalists and Other Writers,11903,525,976,51,48,61,78,112,443,1285,1835,2312,2130,2760,2330,44,13390
2200,"Business, Human Resource and Marketing Professionals nfd",1748,217,100,9,9,6,4,7,21,60,149,295,344,492,677,13,2068
2210,"Accountants, Auditors and Company Secretaries nfd",320,17,13,0,0,0,0,0,4,13,42,55,48,84,104,0,350
2211,Accountants,90496,9946,7675,286,369,251,281,502,2271,6906,11481,17031,16271,23653,28897,332,107876
2212,"Auditors, Company Secretaries and Corporate Treasurers",12949,293,204,11,35,13,9,25,108,399,1129,1982,2280,3325,4111,23,13404
2220,"Financial Brokers and Dealers, and Investment Advisers nfd",633,105,48,4,7,3,0,10,20,56,55,96,112,103,329,0,784
2221,Financial Brokers,9236,5001,1458,133,71,87,99,163,566,1268,1911,2349,1915,2728,4515,101,15702
2222,Financial Dealers,10799,920,748,107,53,73,69,68,207,381,794,1275,1296,2153,6038,85,12439
2223,Financial Investment Advisers and Managers,17456,6021,1614,145,76,56,63,108,376,1083,1995,3123,2971,4498,10722,96,25091
2230,Human Resource and Training Professionals nfd,449,25,17,0,0,0,5,0,5,46,118,123,78,76,40,0,491
2231,Human Resource Professionals,39325,1826,723,73,139,81,64,106,559,2859,7342,9111,7585,8316,5562,148,41733
2232,ICT Trainers,1406,136,119,4,4,8,5,12,42,90,177,286,341,413,271,8,1653
