Space-Time Research										
"Employed Persons (ST E13_Aug96_ANZSCO06) by Occupation Major Group, State, Age, Sex - from August 1996 Copyright © Commonwealth of Australia 2013  "										
Table 1										
"Employed ft, pt, total and Sex by Month by ANZSCO06 major group"										
										
			Managers	Professionals	Technicians and Trades Workers	Community and Personal Service Workers	Clerical and Administrative Workers	Sales Workers	Machinery Operators And Drivers	Labourers
Employed Full Time ('000)	Females	August Quarter 1996	217	471	111	177	677	204	51	151
Employed Full Time ('000)	Females	November Quarter 1996	216	487	108	180	664	205	50	164
Employed Full Time ('000)	Females	February Quarter 1997	220	478	115	177	663	197	51	165
Employed Full Time ('000)	Females	May Quarter 1997	221	488	118	186	642	192	49	154
Employed Full Time ('000)	Females	August Quarter 1997	213	499	113	176	635	184	49	154
Employed Full Time ('000)	Females	November Quarter 1997	221	491	106	193	667	200	54	150
Employed Full Time ('000)	Females	February Quarter 1998	215	489	121	189	675	200	53	145
Employed Full Time ('000)	Females	May Quarter 1998	214	507	110	196	654	199	50	149
Employed Full Time ('000)	Females	August Quarter 1998	211	511	113	192	664	195	52	162
Employed Full Time ('000)	Females	November Quarter 1998	220	526	104	200	651	197	52	162
Employed Full Time ('000)	Females	February Quarter 1999	220	533	108	190	662	206	50	157
Employed Full Time ('000)	Females	May Quarter 1999	223	523	115	190	667	194	46	148
Employed Full Time ('000)	Females	August Quarter 1999	226	525	104	181	666	196	46	158
Employed Full Time ('000)	Females	November Quarter 1999	242	547	122	202	672	185	45	156
Employed Full Time ('000)	Females	February Quarter 2000	238	554	118	196	681	190	47	158
Employed Full Time ('000)	Females	May Quarter 2000	232	570	112	181	706	186	52	154
Employed Full Time ('000)	Females	August Quarter 2000	251	571	105	188	711	192	45	161
Employed Full Time ('000)	Females	November Quarter 2000	259	574	112	197	714	200	45	159
Employed Full Time ('000)	Females	February Quarter 2001	266	591	108	209	713	196	42	152
Employed Full Time ('000)	Females	May Quarter 2001	265	578	112	214	687	197	41	148
Employed Full Time ('000)	Females	August Quarter 2001	269	559	111	210	674	193	35	148
Employed Full Time ('000)	Females	November Quarter 2001	283	563	114	215	669	203	39	148
Employed Full Time ('000)	Females	February Quarter 2002	275	578	118	201	683	182	42	156
Employed Full Time ('000)	Females	May Quarter 2002	270	596	113	201	648	192	40	150
Employed Full Time ('000)	Females	August Quarter 2002	273	601	112	211	659	192	42	148
