"","ANZSCO","COMBINED1","Information.Content","Automation.Routinization","No.Face.to.Face","No.On.Site.Work","No.Decision.Making","Population","Title"
"1",10,1,0.753928953182508,0.444378540052393,0.270821171822845,0.641288087691666,0.228694444174138,2805437,"Other managers"
"2",51,1,0.753928953182508,0.444378540052393,0.270821171822845,0.641288087691666,0.228694444174138,2805437,"Other managers"
"3",13,1,0.753928953182508,0.444378540052393,0.270821171822845,0.641288087691666,0.228694444174138,2805437,"Other managers"
"4",22,1,0.753928953182508,0.444378540052393,0.270821171822845,0.641288087691666,0.228694444174138,2805437,"Other managers"
"5",11,2,0.681033384983153,0.391680083853566,0.255182283244314,0.615420888244801,0.149085614894001,104869,"Managers - CEOs, GMs, Legislators"
"6",41,3,0.765740140054557,0.417067281075621,0.172165219226079,0.540337461498042,0.260339737872365,527413,"Health professionals"
"7",25,3,0.765740140054557,0.417067281075621,0.172165219226079,0.540337461498042,0.260339737872365,527413,"Health professionals"
"8",20,4,0.778037728750052,0.442026596664766,0.298495285207817,0.650317544511244,0.263229296132778,2692854,"Professionals NFD"
"9",26,4,0.778037728750052,0.442026596664766,0.298495285207817,0.650317544511244,0.263229296132778,2692854,"Professionals NFD"
"10",24,5,0.703129764731697,0.367481408911106,0.236663229545982,0.675586186123499,0.257711986476801,486969,"Teachers"
"11",27,6,0.771572820919392,0.356910401475474,0.218826888902318,0.726843212360091,0.229688235379038,184467,"Legal Professionals"
"12",23,7,0.784985238966907,0.453210551653742,0.351926808339225,0.522176733548976,0.243394515233801,369450,"Designers, Engineers, Scientists, Transport Professionals"
"13",30,8,0.611537125920151,0.516772828892908,0.387169429118485,0.351661724722447,0.343747510206772,1865408,"Technicians"
"14",31,8,0.611537125920151,0.516772828892908,0.387169429118485,0.351661724722447,0.343747510206772,1865408,"Technicians"
"15",73,9,0.551511378802204,0.510884444312329,0.393216066297141,0.299605479398574,0.40247404125406,319272,"Road transport & railway workers"
"16",34,10,0.664774860622887,0.532218679574743,0.339174242807087,0.254989215131272,0.332331988008025,162341,"Electrotechnology and Telecommunications trades workers"
"17",50,11,0.684714811905761,0.523599487580381,0.353824955338938,0.663568543364624,0.431730617645276,2356402,"Office support, clerical and postal workers"
"18",53,11,0.684714811905761,0.523599487580381,0.353824955338938,0.663568543364624,0.431730617645276,2356402,"Office support, clerical and postal workers"
"19",55,11,0.684714811905761,0.523599487580381,0.353824955338938,0.663568543364624,0.431730617645276,2356402,"Office support, clerical and postal workers"
"20",56,11,0.684714811905761,0.523599487580381,0.353824955338938,0.663568543364624,0.431730617645276,2356402,"Office support, clerical and postal workers"
"21",59,11,0.684714811905761,0.523599487580381,0.353824955338938,0.663568543364624,0.431730617645276,2356402,"Office support, clerical and postal workers"
"22",54,11,0.684714811905761,0.523599487580381,0.353824955338938,0.663568543364624,0.431730617645276,2356402,"Office support, clerical and postal workers"
"23",52,11,0.684714811905761,0.523599487580381,0.353824955338938,0.663568543364624,0.431730617645276,2356402,"Office support, clerical and postal workers"
"24",12,12,0.713171774356538,0.459150578601834,0.254721536015846,0.345643801913417,0.186823296500537,117091,"Farmers/farm managers"
"25",84,13,0.419084109478651,0.576164028931976,0.428801468276246,0.402347913471632,0.446491780231537,87482,"Farm/rural/garden workers"
"26",74,14,0.443209183571462,0.495002429105203,0.423657797177374,0.504089345870997,0.509239947404322,148519,"Storepersons, freight handlers"
"27",89,15,0.508911494767283,0.548835597225891,0.416898135074902,0.324455443035604,0.396616069952792,1154871,"Labourers"
"28",80,15,0.508911494767283,0.548835597225891,0.416898135074902,0.324455443035604,0.396616069952792,1154871,"Labourers"
"29",82,15,0.508911494767283,0.548835597225891,0.416898135074902,0.324455443035604,0.396616069952792,1154871,"Labourers"
"30",33,16,0.44552068093208,0.521177743718619,0.410766777568379,0.350580275320508,0.366246076439595,251908,"Construction trades workers"
"31",35,17,0.483037525139283,0.556745957652896,0.363805491170315,0.480751806033291,0.378867529666235,224120,"Food trades workers"
"32",85,17,0.483037525139283,0.556745957652896,0.363805491170315,0.480751806033291,0.378867529666235,224120,"Food trades workers"
"33",21,18,0.702845163059626,0.483318396045785,0.320128221596712,0.651158548130045,0.275466621598492,63670,"Arts and media professionals"
"34",43,19,0.620432639327213,0.456878955019085,0.234938432055572,0.555147434176102,0.276788666359428,344913,"Hospitality workers"
"35",14,19,0.620432639327213,0.456878955019085,0.234938432055572,0.555147434176102,0.276788666359428,344913,"Hospitality workers"
"36",36,20,0.540071488956119,0.520794411271811,0.41910567555338,0.363673221678536,0.389823312427528,252888,"Other technicians and trades workers"
"37",39,20,0.540071488956119,0.520794411271811,0.41910567555338,0.363673221678536,0.389823312427528,252888,"Other technicians and trades workers"
"38",61,21,0.683051254743495,0.403928279287615,0.261051631432052,0.711368682031188,0.308413887723344,238167,"Sales representatives and agents"
"39",63,22,0.612467981002425,0.451604734528499,0.278242237254545,0.594868512183845,0.370843307630417,1091523,"Sales assistants and support workers"
"40",62,22,0.612467981002425,0.451604734528499,0.278242237254545,0.594868512183845,0.370843307630417,1091523,"Sales assistants and support workers"
"41",60,22,0.612467981002425,0.451604734528499,0.278242237254545,0.594868512183845,0.370843307630417,1091523,"Sales assistants and support workers"
"42",32,23,0.587448545988411,0.51056092452544,0.421228934972397,0.259460587581579,0.347285343455154,473665,"Automotive and Engineering trades workers"
"43",81,24,0.445525023790033,0.451340373414776,0.38551413318632,0.515081623373207,0.475346082208727,252119,"Cleaners and caretakers"
"44",42,24,0.445525023790033,0.451340373414776,0.38551413318632,0.515081623373207,0.475346082208727,252119,"Cleaners and caretakers"
"45",45,25,0.588966963856781,0.461962641073872,0.26430250677646,0.569120042147295,0.372939939808515,690588,"Sports and personal service workers"
"46",40,25,0.588966963856781,0.461962641073872,0.26430250677646,0.569120042147295,0.372939939808515,690588,"Sports and personal service workers"
"47",83,26,0.580573848770863,0.624592112583405,0.418523246043779,0.350743673713672,0.408408266204805,221114,"Factory process workers"
"48",44,27,0.637450519308767,0.486906766606916,0.246042425518023,0.489344461394226,0.309260000427172,176805,"Protective service workers"
"49",70,28,0.51959403947221,0.548845222500918,0.419595006397837,0.312664850527299,0.408801715491878,1258173,"Machine operators"
"50",71,28,0.51959403947221,0.548845222500918,0.419595006397837,0.312664850527299,0.408801715491878,1258173,"Machine operators"
"51",72,28,0.51959403947221,0.548845222500918,0.419595006397837,0.312664850527299,0.408801715491878,1258173,"Machine operators"
