Space-Time Research
Employed Persons (ST E13_Aug96_ANZSCO06) by Occupation Major Group, State, Age, Sex - from August 1996 Copyright © Commonwealth of Australia 2013  
Table 1
Month by ANZSCO06 major group
 for Employed Full Time ('000)
	Managers	Professionals	Technicians and Trades Workers	Community and Personal Service Workers	Clerical and Administrative Workers	Sales Workers	Machinery Operators And Drivers	Labourers
August Quarter 1996	899	1,150	1,214	337	968	453	558	649
November Quarter 1996	886	1,199	1,210	341	958	445	567	670
February Quarter 1997	895	1,173	1,237	343	959	442	553	669
May Quarter 1997	907	1,178	1,231	344	933	431	536	668
August Quarter 1997	882	1,203	1,200	338	925	428	531	662
November Quarter 1997	906	1,217	1,205	363	975	447	547	658
February Quarter 1998	874	1,231	1,253	360	977	453	543	657
May Quarter 1998	888	1,242	1,234	360	953	454	534	659
August Quarter 1998	891	1,250	1,220	350	960	437	545	678
November Quarter 1998	912	1,293	1,209	361	946	443	575	653
February Quarter 1999	910	1,322	1,197	364	971	459	551	660
May Quarter 1999	909	1,295	1,227	355	967	445	541	639
August Quarter 1999	937	1,273	1,224	348	960	458	537	658
November Quarter 1999	958	1,311	1,262	367	974	442	541	659
February Quarter 2000	961	1,328	1,253	367	992	445	535	674
May Quarter 2000	931	1,358	1,259	349	1,004	435	554	655
August Quarter 2000	942	1,364	1,244	357	1,029	434	537	663
November Quarter 2000	966	1,369	1,237	367	1,048	462	524	664
February Quarter 2001	963	1,409	1,209	384	1,054	441	527	656
May Quarter 2001	990	1,387	1,203	374	1,007	435	537	636
August Quarter 2001	989	1,375	1,207	383	976	413	535	609
November Quarter 2001	1,050	1,363	1,220	384	975	435	531	623
February Quarter 2002	1,032	1,397	1,235	375	983	429	536	642
May Quarter 2002	1,016	1,420	1,227	380	947	445	535	644
August Quarter 2002	983	1,417	1,205	385	974	448	533	649
November Quarter 2002	990	1,426	1,229	399	1,000	460	544	634
February Quarter 2003	1,001	1,459	1,260	403	1,012	471	549	655
May Quarter 2003	1,012	1,428	1,252	390	985	465	543	634
August Quarter 2003	1,004	1,421	1,267	392	996	452	528	634
November Quarter 2003	1,036	1,457	1,283	406	1,008	445	530	660
February Quarter 2004	1,033	1,493	1,299	413	1,004	446	544	657
May Quarter 2004	1,025	1,499	1,282	396	995	441	553	666
August Quarter 2004	1,066	1,466	1,255	408	986	437	543	684
November Quarter 2004	1,097	1,469	1,305	428	1,004	474	556	671
February Quarter 2005	1,141	1,458	1,354	430	1,035	482	547	688
May Quarter 2005	1,098	1,513	1,329	415	1,024	479	555	673
August Quarter 2005	1,115	1,521	1,333	429	1,020	479	552	657
November Quarter 2005	1,110	1,539	1,351	447	1,010	502	551	682
February Quarter 2006	1,159	1,596	1,336	435	1,027	488	552	683
May Quarter 2006	1,118	1,598	1,364	438	1,025	472	561	676
August Quarter 2006	1,155	1,571	1,366	419	1,069	465	586	661
November Quarter 2006	1,182	1,590	1,401	437	1,067	464	612	649
February Quarter 2007	1,179	1,637	1,386	465	1,096	465	615	685
May Quarter 2007	1,182	1,662	1,403	474	1,084	462	617	669
August Quarter 2007	1,201	1,644	1,408	468	1,071	450	634	660
November Quarter 2007	1,222	1,681	1,430	474	1,066	476	651	671
February Quarter 2008	1,208	1,745	1,470	467	1,106	484	620	688
May Quarter 2008	1,228	1,719	1,432	464	1,091	472	629	676
August Quarter 2008	1,249	1,742	1,458	462	1,104	461	632	671
November Quarter 2008	1,199	1,758	1,473	493	1,092	467	647	687
February Quarter 2009	1,217	1,763	1,477	494	1,117	445	626	659
May Quarter 2009	1,258	1,712	1,424	491	1,103	450	606	651
August Quarter 2009	1,252	1,768	1,345	463	1,059	453	601	651
November Quarter 2009	1,300	1,819	1,365	475	1,055	475	581	659
February Quarter 2010	1,290	1,845	1,406	480	1,057	440	604	653
May Quarter 2010	1,319	1,799	1,406	464	1,072	466	619	649
August Quarter 2010	1,276	1,822	1,428	498	1,049	492	620	622
November Quarter 2010	1,269	1,819	1,460	529	1,100	509	616	694
February Quarter 2011	1,246	1,919	1,487	499	1,084	493	624	706
May Quarter 2011	1,276	1,911	1,453	481	1,090	449	637	652
August Quarter 2011	1,303	1,857	1,398	508	1,089	465	657	650
November Quarter 2011	1,303	1,844	1,430	530	1,096	480	694	643
February Quarter 2012	1,296	1,925	1,457	525	1,116	462	656	663
May Quarter 2012	1,311	1,953	1,452	502	1,126	439	644	659
August Quarter 2012	1,255	1,936	1,452	496	1,093	465	644	660
November Quarter 2012	1,274	1,960	1,456	528	1,103	477	690	662
February Quarter 2013	1,266	1,936	1,469	541	1,128	482	684	660
May Quarter 2013	1,314	1,938	1,468	546	1,091	475	661	635
