Code,Title,Oral Comprehension,Written Comprehension,Oral Expression,Written Expression,Fluency of Ideas,Originality,Problem Sensitivity,Deductive Reasoning,Inductive Reasoning,Information Ordering,Category Flexibility,Mathematical Reasoning,Number Facility,Memorization,Speed of Closure,Flexibility of Closure,Perceptual Speed,Spatial Orientation,Visualization,Selective Attention,Time Sharing,Arm-Hand Steadiness,Manual Dexterity,Finger Dexterity,Control Precision,Multilimb Coordination,Response Orientation,Rate Control,Reaction Time,Wrist-Finger Speed,Speed of Limb Movement,Static Strength,Explosive Strength,Dynamic Strength,Trunk Strength,Stamina,Extent Flexibility,Dynamic Flexibility,Gross Body Coordination,Gross Body Equilibrium,Near Vision,Far Vision,Visual Color Discrimination,Night Vision,Peripheral Vision,Depth Perception,Glare Sensitivity,Hearing Sensitivity,Auditory Attention,Sound Localization,Speech Recognition,Speech Clarity
11-1011.00,Chief Executives,4.75,4.63,4.88,4.5,4.75,4.5,5,5,5,3.75,4,3.63,4,3.13,3.5,3.5,2.75,0,3.75,3.38,2.88,0,0,2.13,1.5,1.13,0.13,0,0.13,0,0,0,0,0,0,0,0,0,0,0,4.25,3.38,1.88,0,0,2.13,0,1.88,2,0,4.88,5.13
11-1021.00,General and Operations Managers,4.12,4,4,4,3.38,3.25,4,3.75,3.38,3.5,3.12,3,2.5,2.12,2,2.38,2.38,1.38,2.62,2.75,2.88,2.12,2.25,2.75,2.25,2.25,1.62,1.5,1.38,0,1.5,1.75,0,0,2.12,1.38,0,0,1.5,0,3.12,2.75,2.12,1.38,1.5,1.62,0.88,2.25,2.38,1.25,3.38,3.38
11-2011.00,Advertising and Promotions Managers,4.25,4,4.62,4,4.12,3.75,4.25,4.38,3.75,3.75,3.75,3.5,3.12,2.38,2.88,3.12,2.62,0,3.12,2.62,2.38,1.25,0.62,1.75,0.62,0.38,0,0,0,0.38,0,0,0,0,0.38,0,0,0,0,0,4.25,3.5,3.25,0,0,1.5,0,1.5,1.5,0,4,3.75
11-2021.00,Marketing Managers,4.38,4.25,4.38,4.12,4.25,4,4.12,4.38,3.62,3.38,3.62,3.62,3.5,3,3,3.25,3,0.25,3,3,2.75,0.12,0,1.75,0,0,0.12,0,0,0.12,0,0,0,0,0.25,0,0,0,0,0,3.75,3.38,2.88,0,0,1,0.12,1.75,1.5,0,3.88,3.88
11-2022.00,Sales Managers,4.5,3.88,4.38,4,3.75,4.12,3.88,4.12,3.62,3.38,3.62,3.75,3.62,3.12,3,2.88,2.5,1.25,2.5,3,2.5,1.62,1.62,2.12,2.25,2.12,1.62,1.12,1.5,0.12,1.12,0,0,0,0,0,0,0,0.12,0,4,3.12,2,1.75,1.5,2.38,1.75,2,1.62,1.25,4,4
11-2031.00,Public Relations and Fundraising Managers,4.62,4.12,4.75,4.62,3.88,3.75,4,4.25,3.5,3.62,3.38,3.38,3.12,3,2.62,2.62,2.5,0,2.62,3.12,2.75,0,0,2.62,0,0,0,0,0,0.62,0,0,0,0,0.75,0,0,0,0,0,4.12,2.75,2.38,0,0,1.12,0.25,2,2,0,4.25,4.62
11-3011.00,Administrative Services Managers,4,3.88,3.88,3.88,2.88,2.88,3.5,3.5,3.25,3.12,3,2.5,2.88,2.62,2.5,2.38,2.38,0,2.75,3,2.62,1.5,1.5,2.62,1.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,2.5,2,0,0,1.38,0,1.75,1.5,0,3.5,3.5
11-3021.00,Computer and Information Systems Managers,4.25,4.25,4.38,4.12,3.5,3.5,3.75,4,4,4,3.38,3,2.88,2.75,2.75,2.88,2.5,0.25,3,3,2.38,2.38,2.38,2.75,2.5,1.38,1,1,1,1.12,0,0,0,0,0.25,0,0,0,0,0,3.62,3,2.62,0,0,1.75,0,2.12,2,0,3.38,3.25
11-3031.01,Treasurers and Controllers,4.25,4.38,4.62,4.12,3.62,3.38,4.75,4.5,4.12,3.88,3.62,4.25,4.38,2.75,3.12,3.12,3,0,2.75,2.75,2.12,0,0,2.12,0,0,0,0,0,0,0,0,0,0,0.38,0,0,0,0,0,4.25,3,1.5,0,0,0.62,0,1.38,1.5,0,3.75,3.75
11-3031.02,"Financial Managers, Branch or Department",4.5,4.13,4.38,4.25,3.63,3.75,3.75,4.25,3.75,3.63,3.5,3.75,4.25,3,2.75,2.88,2.63,0,2.25,2.88,3,0,0,2.38,0,0,0,0,0,0.13,0,0,0,0,0.25,0.25,0,0,0,0,4.25,2.63,2,0,0,0,0,0.88,1.25,0,3.88,3.88
