Code,Title,Active Learning,Active Listening,Complex Problem Solving,Coordination,Critical Thinking,Equipment Maintenance,Equipment Selection,Installation,Instructing,Judgment and Decision Making,Learning Strategies,Management of Financial Resources,Management of Material Resources,Management of Personnel Resources,Mathematics,Monitoring,Negotiation,Operation and Control,Operation Monitoring,Operations Analysis,Persuasion,Programming,Quality Control Analysis,Reading Comprehension,Repairing,Science,Service Orientation,Social Perceptiveness,Speaking,Systems Analysis,Systems Evaluation,Technology Design,Time Management,Troubleshooting,Writing
11-1011.00,Chief Executives,4,4.38,4.5,4.25,4.38,1,1,1,3.25,4.5,3.38,4.12,3.62,4.25,3,4.12,4,1.88,2.25,3.5,4.12,1.88,1.62,4.38,1,1.62,3.25,4.12,4.38,4.12,4.12,1.75,4.25,1,4.12
11-1021.00,General and Operations Managers,3.5,4,3.5,3.62,3.88,1,1.25,1.12,3.12,3.5,2.75,2.88,3.12,3.38,2.25,3.75,3.5,2.12,2.88,3.25,3.38,1.38,2.38,4,1,1.62,3.12,3.62,4,3.12,3.12,1.62,3.5,1.88,3.38
11-2011.00,Advertising and Promotions Managers,3.25,4,3.5,3.5,3.75,1,1.25,1,2.88,3.75,2.75,2.88,2.5,3.12,3,3.25,3.38,1.25,1.62,2.88,3.25,1.38,1.88,3.75,1,1.5,3.12,4,4,3.12,3,1.62,3.88,1.12,3.75
11-2021.00,Marketing Managers,3.5,3.88,3.38,3.5,3.88,1,1,1,3.12,3.62,3,2.88,2.38,3.38,2.75,3.62,3.25,1,2,3.5,3.75,1.88,1.62,3.5,1,2.12,3.12,3.75,3.75,3.12,3.25,1.75,3.38,1,3.25
11-2022.00,Sales Managers,3.62,4.12,3.62,3.88,3.88,1,1,1,3.62,3.75,3.38,2.88,2.62,3.75,3,3.88,3.62,2.12,2.25,3,4,1.75,1.88,3.5,1,1.5,3.88,4.12,4.25,3.5,3.5,1.75,3.62,1,3.75
11-2031.00,Public Relations and Fundraising Managers,3.25,4.25,3.62,3.75,3.75,1,1,1,3,3.62,2.75,3.12,2.62,3.38,2.75,3.5,3.38,1.12,1.75,2.62,3.75,1.62,1.88,4.12,1,1.5,3.38,4.12,4.38,3.5,3.5,1.5,3.62,1,4.12
11-3011.00,Administrative Services Managers,3.12,3.88,3.12,3.75,3.5,1,1,1,3.12,3.38,2.75,2.62,2.75,3.38,2.38,3.25,3.5,1.25,2.25,2.5,3,1.38,2.38,3.62,1,1.25,3.25,3.38,4,3.12,2.75,1.38,3.62,1.75,3.62
11-3021.00,Computer and Information Systems Managers,3.25,4,3.88,3.75,4,2.25,2.5,1.12,3.5,3.62,3.25,3,2.88,3.5,2.75,3.88,3.38,2.38,3.12,3.25,3.12,2.75,2.62,4.25,2.5,2.12,3.12,3.62,3.75,3.5,3.5,2.5,3.5,2.62,3.88
11-3031.01,Treasurers and Controllers,3.75,3.88,4,3.75,4.12,1,1,1,2.88,4.12,3,4,2.62,3,3.88,3.62,3,1,1.62,2.75,3,1.88,1.88,4,1,1.5,2.88,3.25,4,3.38,3.38,1.5,3.5,1,3.62
11-3031.02,"Financial Managers, Branch or Department",3.62,4.38,3.62,3.75,4,1,1,1,3.25,4,3.5,2.75,2.25,3.75,3,4,3.25,1.12,1.5,2.62,3.75,1.25,1.38,4,1,1.38,3.75,3.75,4.38,3.38,3.25,1.25,3.88,1,4.12
11-3051.00,Industrial Production Managers,3.62,3.75,3.5,4,4,1.38,1.75,1,3.38,3.5,3.5,3.25,3.25,3.88,3.12,4,3.38,2.62,2.88,2.88,3.38,1.75,3.25,3.5,1.38,1.62,2.88,3.25,3.75,3.38,3.25,1.88,3.88,2.12,3.12
11-3051.01,Quality Control Systems Managers,3.5,3.88,3.75,3.38,3.75,2.38,2,1.12,3.38,4,3.38,2.88,2.62,3.12,3.12,3.88,3.12,2.62,3.12,2.62,3.25,2,4,4.12,2.25,2.38,2.88,3.5,3.75,3.5,3.62,2,3.75,3,3.75
