quantile,expdum1,expdum2,expdum3,expdum5,expdum6,expdum7,expdum8,educ1,educ2,educ4,educ5,female,married,inform,routine,face,site,decision,_cons
0.05,-2.1632,-0.0493661,-0.0154883,-0.0301128,-0.0377718,-0.0739644,-0.0333988,-0.0711527,0.1240857,-0.2453007,0.076722,-0.0029435,0.0765681,0.1809053,-0.0133789,-0.0243061,0.0341743,-0.0723237,4.966251
0.1,-1.919009,-0.1103399,0.0131996,-0.0291106,-0.0398094,-0.0278578,-0.0159694,-0.1425417,0.0750741,-0.0717717,0.0786078,0.0419814,0.0573157,0.1048256,-0.009554,-0.0133993,0.0207593,-0.0261818,5.278961
0.15,-1.230618,-0.1348065,0.0043254,-0.029741,-0.0304353,-0.0368609,-0.0137726,-0.1396521,0.0602245,-0.0823399,0.0725697,0.0637991,0.0626005,0.0916126,-0.0141549,-0.0252068,0.0097315,-0.0103084,5.387004
0.2,-0.9455813,-0.170834,0.0089133,-0.0210717,-0.0141579,-0.0172375,-0.0183471,-0.1926883,0.0595326,-0.0935713,0.1069273,0.1107585,0.0949696,0.1085987,-0.0230685,-0.0032191,0.0116167,-0.038137,5.416843
0.25,-0.7202597,-0.1685329,0.0107893,-0.0247699,-0.0218982,-0.0181436,-0.0234333,-0.2132654,0.0478996,-0.0518827,0.1300324,0.1292108,0.1133832,0.1197022,-0.0284465,-0.008694,0.0111266,-0.0328454,5.460844
0.3,-0.603678,-0.1784065,-0.0011379,-0.0315083,-0.0212662,-0.0233021,-0.0390596,-0.2119877,0.0396045,-0.0118388,0.1286998,0.1359829,0.122198,0.1107555,-0.0263162,-0.0123384,0.0109943,-0.0123779,5.511223
0.35,-0.5233391,-0.1894357,-0.0134878,-0.028133,-0.0239885,-0.0334732,-0.049969,-0.216456,0.0394318,0.0028878,0.134123,0.15562,0.138313,0.1010073,-0.0254959,-0.0065676,0.0164661,0.0018518,5.543552
0.4,-0.4729197,-0.2213366,-0.033712,-0.0372799,-0.03649,-0.0493643,-0.0759773,-0.2291418,0.0474695,0.0444443,0.1442511,0.2056904,0.1922248,0.0943229,-0.0237881,0.001393,0.0152121,0.0192079,5.56336
0.45,-0.4423062,-0.2343692,-0.0406559,-0.0317474,-0.0406422,-0.0631524,-0.0929769,-0.2508167,0.055211,-0.0019595,0.15653,0.2363256,0.2433297,0.0846784,-0.0112771,0.0145475,0.011231,0.045929,5.577332
0.5,-0.3910184,-0.2245011,-0.0566445,-0.0300455,-0.0343138,-0.0625577,-0.0985772,-0.2504878,0.0585692,0.0069613,0.162629,0.2627399,0.2784997,0.0783244,-0.0147438,0.0161753,0.0082873,0.0566931,5.622902
0.55,-0.351328,-0.2270239,-0.0756996,-0.0292775,-0.0272458,-0.0769827,-0.1178327,-0.240194,0.0627386,-0.0746389,0.1471389,0.2819633,0.3114955,0.0647806,-0.0065502,0.021498,0.0004845,0.0670722,5.665802
0.6,-0.3284735,-0.2436551,-0.0924518,-0.0151874,-0.0218421,-0.066173,-0.1242448,-0.2382233,0.0741116,-0.0698376,0.1438944,0.3103782,0.3692341,0.0485049,-0.0083401,0.0280945,-0.0103435,0.0813142,5.730429
0.65,-0.2965711,-0.2616804,-0.0959224,0.0095491,0.0050042,-0.0348961,-0.1062302,-0.2544379,0.0800695,-0.0773932,0.1338997,0.3434198,0.4519959,0.0480942,-0.0102274,0.0293949,-0.0167049,0.0954749,5.773333
0.7,-0.2557513,-0.2429133,-0.1043372,0.040002,0.032695,-0.0049693,-0.0885541,-0.2602882,0.0875551,-0.0613112,0.1318188,0.393918,0.5614814,0.0470819,-0.0136329,0.0141365,-0.027667,0.1104275,5.823211
0.75,-0.228707,-0.2271152,-0.1356944,0.0292843,0.0414844,0.003792,-0.0678546,-0.2470199,0.0779853,-0.0900756,0.1048882,0.3888252,0.686608,0.0230026,0.0009905,0.0002583,-0.0441172,0.1388757,5.923295
0.8,-0.1886083,-0.190534,-0.1427268,0.0623516,0.0772326,0.0421087,-0.0197102,-0.2454951,0.0692333,-0.0943881,0.068373,0.4242194,0.861044,0.0020188,0.042749,0.0009499,-0.0670295,0.1742008,5.952038
0.85,-0.1373991,-0.1498869,-0.1435288,0.1072539,0.1340623,0.1251567,0.0418849,-0.2515602,0.07936,-0.0472682,0.0736618,0.4512277,1.230696,-0.043418,0.088575,-0.0022275,-0.1000944,0.2582573,5.966734
0.9,-0.1059129,-0.12699,-0.1445251,0.1233657,0.1901997,0.213243,0.1595966,-0.2635629,0.0895766,0.0035573,0.0677879,0.3679682,1.416404,-0.1042427,0.1672687,0.0006439,-0.1631011,0.4078948,6.002346
0.95,-0.1059129,-0.12699,-0.1445251,0.1233657,0.1901997,0.213243,0.1595966,-0.2635629,0.0895766,0.0035573,0.0677879,0.3679682,1.416404,-0.1042427,0.1672687,0.0006439,-0.1631011,0.4078948,6.002346
