quantile,expdum1,expdum2,expdum3,expdum4,expdum5,expdum6,expdum7,expdum8,educ1,educ2,educ3,educ4,educ5,female,married,inform,routine,face,site,decision,_cons
0.05,-3.21579,-0.4183034,-0.0876394,0,0.0814241,-0.0137647,-0.0230669,0.0764099,-0.134138,-0.1396092,0,0.0085644,-0.0377418,-0.0642511,0.0778237,0.0636119,0.0730449,0.019973,-0.0845838,0.0055956,46.11576
0.1,-1.441962,-0.2731127,-0.0210783,0,0.0522894,0.0068477,0.0065046,0.0435156,-0.0674044,-0.0532741,0,0.029751,-0.0058115,-0.1305027,0.0332219,0.0923844,0.0320773,0.0274063,-0.0167516,0.0174957,21.20213
0.15,-1.035479,-0.2493085,-0.0345387,0,0.0569825,0.0060659,0.0088888,0.0493299,-0.0856358,-0.0335055,0,0.029129,0.0008504,-0.1393943,0.0374557,0.104382,0.01459,0.0283963,0.001985,0.0315122,17.49226
0.2,-0.8328777,-0.2611325,-0.0334584,0,0.0454576,-0.0134879,0.0070347,0.0347391,-0.1231144,-0.0246566,0,0.055774,0.0078193,-0.1555446,0.0544224,0.1063673,-0.0109195,0.0285603,0.0390358,0.0503001,15.6804
0.25,-0.6970366,-0.2569346,-0.0287861,0,0.0579154,-0.0087986,0.0101363,0.0414869,-0.1012332,-0.0342829,0,0.0685242,0.0228706,-0.168517,0.0669182,0.1283307,-0.0295314,0.0303761,0.0579067,0.0604485,15.04625
0.3,-0.6273404,-0.2700425,-0.0693367,0,0.0537931,0.0100438,0.0161077,0.0412198,-0.1234505,-0.0442846,0,0.0616435,0.0325321,-0.178197,0.0518932,0.1515039,-0.041684,0.0368051,0.0709444,0.0640437,14.83354
0.35,-0.5744607,-0.288522,-0.0655353,0,0.0752135,0.0280858,0.0168357,0.0525429,-0.1400588,-0.062079,0,0.0775375,0.0581923,-0.18339,0.055281,0.159287,-0.0565783,0.0354183,0.0953004,0.0844042,14.83455
0.4,-0.4953929,-0.3075031,-0.0620837,0,0.0707575,0.035152,0.0356285,0.0973873,-0.1581527,-0.0590338,0,0.1250767,0.0839074,-0.2039879,0.0572663,0.1572968,-0.0633476,0.0354245,0.1096529,0.0874685,14.90082
0.45,-0.4438323,-0.32213,-0.0947985,0,0.0725371,0.0380467,0.0425772,0.0975529,-0.1572176,-0.059086,0,0.1346237,0.1245314,-0.2183953,0.0683449,0.1627278,-0.0569256,0.0370369,0.1078337,0.0973824,15.02633
0.5,-0.3839418,-0.3213803,-0.1317385,0,0.0741846,0.053877,0.0538457,0.0859361,-0.1541061,-0.0497537,0,0.1558232,0.1509861,-0.2223863,0.0729864,0.1531954,-0.0590745,0.0346956,0.113575,0.1085408,15.14906
0.55,-0.3105376,-0.2901724,-0.1473163,0,0.0915274,0.0689259,0.071375,0.0820315,-0.1700013,-0.0596059,0,0.1828494,0.2048124,-0.2082306,0.0916349,0.1396967,-0.0639692,0.0300709,0.1236394,0.1207798,15.54713
0.6,-0.2833114,-0.3044697,-0.1805433,0,0.0835431,0.0589925,0.0706149,0.0628697,-0.1693221,-0.0558251,0,0.1947515,0.2515513,-0.2276885,0.0817753,0.1235005,-0.05472,0.0291019,0.1085629,0.1315025,16.05668
0.65,-0.2264924,-0.2793565,-0.1862254,0,0.0953039,0.068424,0.0758777,0.0873444,-0.1573271,-0.0506205,0,0.2041917,0.2828438,-0.2295355,0.0947408,0.1096252,-0.050816,0.0144161,0.0902373,0.1474725,16.58783
0.7,-0.1891631,-0.2467174,-0.18527,0,0.1047028,0.0751603,0.0692297,0.0960566,-0.1486789,-0.0437531,0,0.1891269,0.3316615,-0.2348001,0.0842384,0.0846606,-0.0312927,0.0045842,0.0684782,0.1729017,17.15967
0.75,-0.1362285,-0.1924059,-0.1575605,0,0.0905508,0.0874424,0.0734539,0.0771984,-0.14026,-0.0397511,0,0.1478147,0.3174042,-0.255399,0.0950083,0.0753822,-0.0031486,-0.0184179,0.0390124,0.2026763,17.84902
0.8,-0.1239981,-0.1838502,-0.1614584,0,0.0844882,0.0977814,0.0876872,0.0872274,-0.1302484,-0.0483066,0,0.1382566,0.3583428,-0.3002963,0.1036265,0.0705804,-0.003518,-0.0337369,0.023711,0.2185452,20.19847
0.85,-0.0914897,-0.1674867,-0.1779242,0,0.0902965,0.0996674,0.0983063,0.1061263,-0.1369521,-0.0623487,0,0.136339,0.4036929,-0.3290616,0.1142608,0.0590134,0.0022525,-0.0393074,0.0061713,0.2302692,24.18111
0.9,-0.0283419,-0.105158,-0.1887514,0,0.0720357,0.1302482,0.069205,0.1573296,-0.1150375,-0.0475189,0,0.186085,0.4387542,-0.3647978,0.1438655,0.0590568,0.0035859,-0.0439347,-0.029598,0.2264533,31.14242
0.95,0.0452761,-0.0487018,-0.1683935,0,0.1458683,0.1847417,0.1865415,0.2397067,-0.0918187,-0.0131061,0,0.3293372,0.521367,-0.4275284,0.1409528,0.0446983,0.0100723,-0.0514135,-0.0806209,0.2213789,56.64595
