quantile,expdum1,expdum2,expdum3,expdum5,expdum6,expdum7,expdum8,educ1,educ2,educ4,educ5,female,married,inform,routine,face,site,decision,_cons
0.05,-3.589588,-0.4861787,-0.019358,0.1151273,-0.0239471,-0.1104665,-0.0258964,-0.0899857,-0.0825901,0.0641811,0.0441908,-0.2088503,-0.001405,0.1158223,-0.0153668,0.0109332,0.0252361,0.1049353,46.2676
0.1,-1.56585,-0.3597097,0.0084553,0.0452281,0.0292589,-0.0270025,0.0072258,-0.0568355,-0.0457394,0.0283636,0.0129545,-0.2314215,-0.0301626,0.1424297,-0.0129587,0.0406908,0.0112206,0.0071632,21.37114
0.15,-1.093617,-0.2737219,-0.0049007,0.0322487,0.0604216,0.00435,0.0133511,-0.0798973,-0.0378162,0.0331083,0.0108497,-0.2370496,-0.0256252,0.1785773,0.0038162,0.0020406,-0.0249346,0.0098603,17.66511
0.2,-0.8302902,-0.2859672,0.0059784,0.017387,0.0586587,-0.0054203,-0.012474,-0.1088457,-0.0344093,0.0546443,0.0258217,-0.2642966,0.0158922,0.148552,-0.0046304,0.0302634,-0.0055511,-0.0362158,15.86328
0.25,-0.7237606,-0.2538805,0.0079787,0.026709,-0.0065525,-0.0319591,-0.0150817,-0.1063166,-0.0508149,0.0686128,0.0389249,-0.2604458,0.0434014,0.1618374,-0.0293798,0.0608924,0.0032694,-0.0367937,15.25393
0.3,-0.6228,-0.2502141,-0.0286215,0.0531589,0.0033187,-0.0155612,0.0026793,-0.1172056,-0.052934,0.0784201,0.0557479,-0.2684831,0.0465018,0.1497453,-0.0526101,0.0645544,0.0024786,-0.0538227,15.03947
0.35,-0.5350595,-0.2637924,0.000478,0.072292,0.0154747,-0.0123103,0.0091676,-0.126753,-0.0597013,0.1202946,0.1152511,-0.2734501,0.0697392,0.1269531,-0.0495586,0.0570475,0.0014058,-0.0753676,15.03784
0.4,-0.4633948,-0.2760808,-0.0023648,0.0453927,0.0289746,0.0008257,0.0538856,-0.1331074,-0.0471969,0.1672732,0.1640631,-0.2798479,0.0563283,0.1314841,-0.0639263,0.0694023,-0.0094039,-0.0757573,15.11402
0.45,-0.4036012,-0.2576114,0.0031307,0.0696474,0.0242604,0.0260654,0.0749747,-0.1492027,-0.0513723,0.1840948,0.2076719,-0.2860164,0.0655614,0.1227953,-0.0697232,0.0741613,-0.012672,-0.0821323,15.24714
0.5,-0.355322,-0.2488853,-0.0218978,0.0697249,0.037937,0.0521649,0.0757852,-0.1426152,-0.0442346,0.2118937,0.2470599,-0.2796232,0.0553158,0.0986515,-0.0828615,0.0802843,-0.0178199,-0.0989222,15.37487
0.55,-0.2739967,-0.2128597,0.0052407,0.0949864,0.0441659,0.0579259,0.0676761,-0.1417385,-0.0578129,0.2286624,0.2977675,-0.2397719,0.0973369,0.092677,-0.0950268,0.0763393,-0.0355309,-0.0995807,15.74239
0.6,-0.2533052,-0.2174326,-0.0152987,0.0728837,0.0328554,0.0536721,0.0466092,-0.1524178,-0.0591256,0.2423461,0.3478738,-0.2306959,0.0857325,0.0748139,-0.0956441,0.0920039,-0.0273702,-0.1099507,16.2406
0.65,-0.2262067,-0.2199095,-0.0361312,0.059481,0.0588378,0.0452023,0.047528,-0.1407548,-0.0560602,0.2529198,0.3655641,-0.2282609,0.0784533,0.0606499,-0.0762612,0.1023814,-0.0096615,-0.1345444,16.77325
0.7,-0.2081525,-0.2070546,-0.0353173,0.085445,0.0380822,0.0310349,0.0451973,-0.1224176,-0.0466453,0.2250398,0.3959549,-0.2132264,0.0711768,0.0539794,-0.0619655,0.1074113,-0.000793,-0.1405832,17.32828
0.75,-0.1681778,-0.1705562,-0.0310084,0.0602016,0.0314624,0.039728,0.0319327,-0.1101394,-0.048152,0.1844628,0.3880259,-0.210041,0.0744596,0.0428264,-0.0344482,0.128286,0.0334302,-0.1625344,18.01512
0.8,-0.1744842,-0.1600851,-0.036523,0.0662937,0.0397345,0.0481835,0.0292076,-0.0966555,-0.0467385,0.1554988,0.3853979,-0.2450081,0.0679737,0.0533089,-0.0297384,0.1508481,0.044041,-0.1809985,20.35703
0.85,-0.1504532,-0.1854946,-0.0956856,0.0234467,0.0307773,0.0604726,0.0180676,-0.1107138,-0.0657448,0.1445848,0.4382451,-0.2350038,0.0857325,0.0612533,-0.0309307,0.1623965,0.0441252,-0.1687985,24.32217
0.9,-0.1140574,-0.1460234,-0.0877666,-0.0127256,0.0344642,0.0659287,0.0295274,-0.0857095,-0.0488815,0.1994974,0.5035692,-0.258517,0.1091215,0.0319525,-0.0050456,0.1373236,0.0689038,-0.1728088,31.2633
0.95,-0.060996,-0.0969575,-0.1131703,0.0637153,0.1057456,0.0934656,0.1003106,-0.0917202,-0.0350646,0.3433356,0.6921789,-0.2812871,0.0893884,0.0098268,0.0282268,0.1100978,0.092199,-0.1594793,56.7551
