quantile,expdum1,expdum2,expdum3,expdum5,expdum6,expdum7,expdum8,educ1,educ2,educ4,educ5,female,married,inform,routine,face,site,decision,_cons
0.05,-2.163399,-0.2539067,-0.1577699,-0.1273894,-0.1226811,-0.1013325,-0.0707208,-0.3416924,-0.175325,0.1283357,0.0309029,-0.2714033,0.2076321,-0.0431226,0.0806308,0.004077,0.2050296,0.0751897,46.41625
0.1,-1.014614,-0.0906213,-0.0191708,0.0466222,0.0172402,0.0143026,0.0255211,-0.1611038,-0.0887273,0.0619462,0.0149578,-0.2446477,0.0438528,0.0927204,0.0496153,0.0102136,0.0687419,0.0060421,21.40861
0.15,-0.7257458,-0.0665821,-0.005026,0.0681303,0.0712656,0.0199432,0.0345689,-0.1474177,-0.0624386,0.0680168,0.0248863,-0.2620561,0.0327666,0.1210415,0.0242251,0.0215994,0.0370305,0.0023698,17.68483
0.2,-0.6076794,-0.0536521,-0.029772,0.0510496,0.0551746,-0.0167532,0.0217544,-0.1586884,-0.0673077,0.085942,0.0387358,-0.2792717,0.0638276,0.1004974,0.0263595,0.0432225,0.0482417,-0.0458628,15.87885
0.25,-0.5374152,-0.0517413,-0.0451346,0.0007852,-0.000416,-0.0164417,0.0197037,-0.1503496,-0.0806844,0.099225,0.0553553,-0.2715031,0.0853969,0.1032886,0.0118729,0.0698381,0.0525539,-0.0608851,15.27307
0.3,-0.4980037,-0.0670282,-0.0837427,-0.0117833,0.0053887,-0.0257768,0.0069725,-0.1525651,-0.0865977,0.1053928,0.0749327,-0.285368,0.0732834,0.1064147,-0.0083236,0.0681103,0.0470964,-0.066133,15.08136
0.35,-0.486502,-0.0811271,-0.1088637,-0.016741,-0.0201509,-0.038835,-0.0214065,-0.1543633,-0.0899676,0.1344527,0.1190642,-0.2734246,0.090309,0.1049343,-0.0252792,0.0693449,0.0229178,-0.0838587,15.10093
0.4,-0.4399379,-0.1084098,-0.0796107,-0.0154309,-0.0176691,0.0026997,-0.0303185,-0.1516319,-0.0755113,0.172733,0.1585289,-0.2744072,0.0892394,0.112832,-0.0335733,0.0878561,0.0156497,-0.0959711,15.16166
0.45,-0.4013772,-0.0825761,-0.0803129,-0.0144965,-0.0067867,0.0241194,-0.0291303,-0.1566971,-0.0732581,0.1842723,0.2024731,-0.2805489,0.0929895,0.1057594,-0.0350562,0.0770603,0.0079873,-0.099834,15.29387
0.5,-0.3362193,-0.0935969,-0.0430225,0.0301724,0.0290312,0.0604135,-0.0062198,-0.151416,-0.0650889,0.2063774,0.2395509,-0.2691636,0.0913271,0.0900288,-0.0530146,0.0942955,0.0006552,-0.1178817,15.38979
0.55,-0.3120825,-0.0918968,-0.0658427,0.017633,-0.0044736,0.032017,-0.0357143,-0.1465841,-0.0704535,0.2190266,0.290994,-0.2283135,0.1262761,0.0749271,-0.0744458,0.1102913,-0.0085486,-0.1296951,15.78563
0.6,-0.2894705,-0.0957437,-0.0659319,-0.0108477,0.0016537,0.0251838,-0.0456409,-0.1577226,-0.0779139,0.2300666,0.3385036,-0.2092845,0.1093277,0.0580762,-0.0803519,0.1312076,0.0018442,-0.1365685,16.27614
0.65,-0.255224,-0.0935894,-0.0503047,0.0177348,0.0262489,0.045329,-0.0128034,-0.1504576,-0.0722982,0.2368622,0.3591198,-0.1996908,0.0944497,0.0375234,-0.0508377,0.1239082,0.0187106,-0.1683951,16.79362
0.7,-0.2545605,-0.115068,-0.0683863,0.0090755,-0.0295366,0.0078938,-0.0198828,-0.134479,-0.0606652,0.2072933,0.3882813,-0.1746565,0.0824613,0.0427722,-0.0420073,0.1183923,0.0127884,-0.1627546,17.36814
0.75,-0.2088285,-0.0986321,-0.0541031,0.0116745,-0.0449716,0.0206848,-0.02553,-0.1196089,-0.0560612,0.1696978,0.3900589,-0.1623952,0.0828312,0.0231496,-0.0214209,0.1237619,0.0418626,-0.1801396,18.04705
0.8,-0.2033084,-0.1225753,-0.0444154,0.0204385,-0.0495852,0.0142658,-0.0367157,-0.1041554,-0.0546863,0.1424415,0.4051328,-0.1931609,0.0842979,0.0395747,-0.0202499,0.1252533,0.0430683,-0.1841515,20.39002
0.85,-0.1805593,-0.1652309,-0.0389735,0.0236662,-0.0128557,0.0528382,-0.0053871,-0.1311812,-0.0737058,0.1442353,0.475706,-0.1641464,0.0902655,0.0407573,-0.0098414,0.1416254,0.0435951,-0.1928103,24.33418
0.9,-0.1690215,-0.1889154,-0.0523409,-0.0221319,-0.032094,0.0278026,-0.0138602,-0.0984292,-0.050226,0.2026622,0.5497757,-0.1706071,0.1011897,0.0221962,0.020446,0.1106272,0.0564595,-0.2053156,31.29245
0.95,-0.1817251,-0.2478035,-0.1303439,0.0133878,-0.0380103,-0.0587243,-0.0747302,-0.0976683,-0.0332645,0.3496725,0.728126,-0.1921053,0.0801138,0.0119411,-0.0085315,0.1191103,0.0672086,-0.1723984,56.85408
