quantile,expdum1,expdum2,expdum3,expdum4,expdum5,expdum6,expdum7,expdum8,expdum9,educ1,educ2,educ3,educ4,educ5,female,married,inform,routine,face,site,decision,_cons
0.05,-1.899194,-0.2728264,0.1257804,0,0.0818258,0.1614791,-0.0056115,0.1312952,-0.431048,-0.2197553,-0.7944031,0,0.3421025,0.265479,-0.5721951,0.1275471,0.4857819,0.1297265,0.0756156,-0.0105464,0.1244239,44.99604
0.1,-0.760889,-0.1884034,-0.0260355,0,0.0135835,0.0123126,0.0698625,0.0545828,-0.1013061,0.2474445,-0.3064644,0,0.3258339,0.3118107,-0.3849908,0.0503972,0.2534025,-0.0471576,0.0539844,0.034076,0.0662893,20.54478
0.15,-0.6189063,-0.2092926,-0.0665132,0,-0.0229906,0.0007568,-0.0155202,0.0298926,-0.0951237,0.2876268,-0.1889451,0,0.2986279,0.2866608,-0.2695553,0.0604763,0.1866779,-0.0342286,0.0306003,0.0286348,0.0641575,16.97402
0.2,-0.476779,-0.1836424,-0.0721339,0,-0.0126966,0.0119494,-0.025069,0.0291854,-0.1170209,0.1281005,-0.1544631,0,0.2513343,0.3042451,-0.2375899,0.0473843,0.1182567,-0.0439743,0.0319041,0.0090211,0.0671326,15.27487
0.25,-0.3640412,-0.1661597,-0.0488419,0,0.0230974,0.0480846,0.0270366,0.0245907,-0.0471798,0.2095673,-0.1344782,0,0.2488546,0.3594579,-0.2171648,0.065899,0.0886328,-0.0340492,0.0096722,-0.0089215,0.0799343,14.67281
0.3,-0.3374693,-0.1636365,-0.0716292,0,0.003874,0.0491278,0.0091665,6.46e-05,-0.1054792,0.2502521,-0.1216371,0,0.2396305,0.3774605,-0.1993273,0.0683829,0.0564725,-0.0329354,-0.0016659,-0.0069707,0.1005129,14.50347
0.35,-0.2892246,-0.1491316,-0.0996296,0,0.0080637,0.037066,0.0238668,0.0040985,-0.1257226,0.1273455,-0.1109333,0,0.2245527,0.3453494,-0.1950043,0.0692232,0.0193114,-0.0201184,-0.0248786,-0.0294252,0.1255174,14.5627
0.4,-0.2162941,-0.1176628,-0.0771955,0,0.0237122,0.0351921,0.0449422,0.0458399,-0.1167195,0.1884513,-0.080234,0,0.1893192,0.3275995,-0.1985961,0.0680143,0.0087473,-0.0271159,-0.0571553,-0.0272749,0.1430742,14.64669
0.45,-0.1708142,-0.0767827,-0.0372601,0,0.0243387,0.0355267,0.0236796,0.0073109,-0.1264698,0.2299703,-0.053104,0,0.1680196,0.3302952,-0.1781423,0.053398,-0.0317479,-0.0313327,-0.1183225,-0.0553255,0.1641673,14.84025
0.5,-0.1332261,-0.0648782,-0.0180979,0,0.0394184,0.0508358,0.0607655,0.0188901,-0.0799882,0.2453151,-0.0285583,0,0.176939,0.3354894,-0.1611167,0.0531185,-0.0395274,-0.0324855,-0.1348924,-0.0617928,0.1525421,14.97827
0.55,-0.1224781,-0.0632014,-0.0418349,0,0.0515164,0.0416172,0.0569329,0.0277425,-0.0779616,0.2886803,-0.0207623,0,0.1400721,0.28044,-0.1393296,0.0484643,-0.0378432,-0.0319871,-0.1191559,-0.0525152,0.1300282,15.40893
0.6,-0.0979752,-0.0459265,-0.0300324,0,0.0306613,0.0470752,0.0704258,0.0222741,-0.0396235,0.2831121,-0.0140389,0,0.146219,0.2750991,-0.1239575,0.0449106,-0.0334618,-0.0287626,-0.0972191,-0.0468261,0.1054456,15.88546
0.65,-0.0890336,-0.0525285,-0.0415699,0,0.0229513,0.0160934,0.0575472,0.0349253,-0.0240318,0.2554496,-0.0070169,0,0.1477831,0.1660061,-0.1115356,0.0501784,-0.0428708,-0.0211184,-0.0995806,-0.052775,0.1103467,16.45232
0.7,-0.0765577,-0.0453196,-0.0471082,0,0.0170616,0.0070974,0.035062,0.0388612,-0.0096417,0.2570764,-0.0065303,0,0.1357856,0.1317928,-0.0947761,0.0415983,-0.0384392,-0.0159368,-0.0824401,-0.045782,0.0979534,17.03579
0.75,-0.0590395,-0.0441413,-0.0338998,0,0.0003698,-0.0007972,0.0134459,0.0283918,-0.0298427,0.2774484,0.0070483,0,0.1178119,0.1009741,-0.0756792,0.0411538,-0.034214,-0.0182231,-0.0688321,-0.039392,0.0864267,17.74154
0.8,-0.0733262,-0.0618163,-0.0428363,0,-0.003437,-0.0088628,0.0109222,-0.0010229,-0.0445481,0.2874264,0.0140394,0,0.1354004,0.0951572,-0.0776819,0.0304123,-0.0375771,-0.0173074,-0.0711417,-0.0427906,0.0925053,20.09991
0.85,-0.066763,-0.0543282,-0.0375751,0,0.0004566,-0.038143,0.0280117,0.0367225,-0.0453092,0.3214534,0.0216578,0,0.1239137,0.1249216,-0.0635626,0.0279846,-0.0343757,-0.0157499,-0.0540358,-0.03293,0.0835558,24.05592
0.9,-0.0784106,-0.0682631,-0.0448654,0,-0.0012683,-0.0491241,0.0297686,0.0152787,-0.0655834,0.306524,0.0340177,0,0.1446851,0.1760552,-0.0801891,0.0289519,-0.0418739,-0.0217345,-0.0636125,-0.0403839,0.081625,31.08757
0.95,-0.0571967,-0.053998,-0.0652856,0,0.0239925,-0.0630595,0.0585114,-0.0565409,-0.0303451,0.6386984,0.0211053,0,0.1274054,0.1592035,-0.0663693,0.0573785,-0.0427603,-0.0171801,-0.0633547,-0.0372446,0.0717965,56.59733
