"","ANZSCO2","Information.Content","Automation.Routinization","No.Face.to.Face","No.On.Site.Work","No.Decision.Making","Population","Title"
"1","10",1.90400445532123,-0.0114441568904196,-0.118621896115715,1.45694036253663,-0.715871055743936,1218738,"Managers"
"2","20",2.28803694009369,0.0589396374589028,0.375242267631431,1.84046135567756,0.0118009148421411,2461821,"Professionals"
"3","30",0.747725684027028,1.38013258651159,1.66718724760027,-0.12590470567468,0.900539592942626,1586876,"Technicians And Trades Workers"
"4","40",0.782361231693253,0.331644656500997,0.0866443970616209,1.32678627748669,1.10594313771021,603829,"Community And Personal Service Workers"
"5","50",1.57089001913654,1.44249205407282,1.1482557018772,1.95756919963689,1.75324300268242,1245092,"Clerical And Administrative Workers"
"6","60",1.06451528635529,0.169081799362279,0.224615640241014,1.64292752365669,1.01144954760113,664845,"Sales Workers"
"7","70",0.191227379533422,1.6785840073045,1.96365260228179,-0.211632152326657,1.59956542960343,862982,"Machinery Operators And Drivers"
"8","80",0.0330053395711788,2.02397886212381,2.0201115076429,-0.0864647072725193,1.55656693339037,817066,"Labourers"
"9","11",1.52443611592342,-0.654993275100623,-0.023754660451877,1.64090933161306,-1.17609943799272,104869,"Chief Executives, General Managers and Legislators"
"10","12",1.78874847803193,0.427047152380613,-0.0294819366551504,-0.0902084835744785,-0.784064459551059,117091,"Farmers and Farm Managers"
"11","13",2.10942890933115,-0.0830608441455494,0.0106623870691949,1.76140821874023,-0.690104271556334,746677,"Specialist Managers"
"12","14",1.50382482698837,0.266921382524976,-0.586111909533041,1.19514779975354,-0.567894602445545,250101,"Hospitality, Retail and Service Managers"
"13","21",1.70382041916898,0.814632208869509,0.7835498749688,1.87023236472071,0.13679984806862,63670,"Arts and Media Professionals"
"14","22",2.56961974024011,0.650154897761456,0.834474134888524,2.40464729266544,0.269153752461276,706240,"Business, Human Resource and Marketing Professionals"
"15","23",2.37935637196956,0.331785522506049,1.17881929363369,1.04257602039267,-0.196378741394139,369450,"Design, Engineering, Science and Transport Professionals"
"16","24",1.70616103864842,-1.04307320065786,-0.253954060470404,2.02698073756612,-0.0476428018467401,486969,"Education Professionals"
"17","25",2.28662159407535,-0.0529636412740242,-0.956283431513367,0.990176623384674,-0.0202358250833563,419992,"Health Professionals"
"18","26",2.6864496414798,1.14858699548828,2.00006446721558,2.12456255165483,-0.0129974651932592,231033,"ICT Professionals"
"19","27",2.26905003848973,-1.21260296988862,-0.475667058422744,2.35588914294012,-0.338765366608731,184467,"Legal, Social and Welfare Professionals"
"20","31",2.12173844071213,1.18602081804153,1.33039564759708,0.371785906931429,0.536146852600276,278532,"Engineering, ICT and Science Technicians"
"21","32",0.754776206558783,1.2515271400802,2.04027302830272,-0.643232833154364,0.882883069829339,473665,"Automotive and Engineering Trades Workers"
"22","33",-0.412466147319817,1.42179160340064,1.91022413938345,-0.058531897636718,1.07985517384715,251908,"Construction Trades Workers"
"23","34",1.39072285082684,1.59885772686877,1.02029969635753,-0.671924938226466,0.727541296546418,162341,"Electrotechnology and Telecommunications Trades Workers"
"24","35",0.142399903757716,1.73824892459614,0.910413111375199,0.70853038038538,0.813906472332892,167542,"Food Trades Workers"
"25","36",-0.227277290223641,1.10554580354206,1.49198001384143,-0.0566695793440362,1.74691806776857,91461,"Skilled Animal and Horticultural Workers"
"26","39",0.700787642691161,1.59133885611973,2.30957716610757,0.0720296544987801,1.08561437882968,161427,"Other Technicians and Trades Workers"
"27","41",1.96483167877024,-1.00982534526448,-1.44435064898986,1.8196045386453,-0.0207699359918112,107421,"Health and Welfare Support Workers"
"28","42",0.144564750945718,-0.284318027602857,1.2358826862441,1.4350230931441,1.91163270160126,138032,"Carers and Aides"
"29","43",-0.23427674774018,0.716907487845259,0.544237066863467,1.40976750345521,2.0456490225166,94812,"Hospitality Workers"
"30","44",1.16600215583846,0.872179763995853,-0.137366824395026,0.831896410745029,0.487859743021955,176805,"Protective Service Workers"
"31","45",0.662189404535691,1.45000426214228,0.110277531489737,1.46224441234287,1.45180401041191,86759,"Sports and Personal Service Workers"
"32","51",1.85582990192678,1.12302040483724,0.1943246289911,2.09326224707881,1.63182708292504,133782,"Office Managers and Program Administrators"
"33","52",1.85582990192678,1.12302040483724,0.1943246289911,2.09326224707881,1.63182708292504,118219,"Personal Assistants and Secretaries"
"34","53",1.57003785813579,1.39141425985658,1.14992066734547,1.88310062919386,2.33049407826569,293597,"General Clerical Workers"
"35","54",0.661751936600086,1.72152841498572,1.35690378733362,2.21923148984043,2.61771315077801,103483,"Inquiry Clerks and Receptionists"
"36","55",1.85592442455938,1.63057704249281,1.46277291510164,2.2874545411764,1.18090433833722,218249,"Numerical Clerks"
"37","56",0.76565715470802,1.36699766979732,1.43427038274703,1.29283050920427,2.00251395629116,89813,"Clerical and Office Support Workers"
"38","59",1.68423404189481,1.55486945072444,1.57881917597336,1.77801100200115,1.31630574580567,287949,"Other Clerical and Administrative Workers"
"39","61",1.54103146911884,-0.458566041644279,0.0492037343628048,2.25659147649146,0.47906996682258,238167,"Sales Representatives and Agents"
"40","62",0.867381529897653,0.17571279803546,0.169216642557025,1.2029785180441,1.13839181025593,358806,"Sales Assistants and Salespersons"
"41","63",0.434540405981796,2.33648162902812,1.13301409837245,1.81533794699815,2.20852053594928,67872,"Sales Support Workers"
"42","71",0.130633468329948,2.50562886061704,2.39832586391871,-0.490021627007637,1.31523504824909,234336,"Machine and Stationary Plant Operators"
"43","72",0.322522678553258,1.93576121884301,1.77085885422723,-0.511572806773465,1.40662175830846,160855,"Mobile Plant Operators"
"44","73",0.459221957211705,1.2567155041171,1.69206163117164,-0.385629274756486,1.45620657648775,319272,"Road and Rail Drivers"
"45","74",-0.431476350982938,1.00201183567508,2.07046477737485,0.9265120526727,2.56533591178518,148519,"Storepersons"
"46","81",-1.08632981398725,1.01091923133028,2.03241486591886,0.467148630229949,2.57813234022994,114087,"Cleaners and Laundry Workers"
"47","82",-0.0294107625152187,1.5512364513419,1.8796518492609,-0.489912641021852,0.652107625406714,166759,"Construction and Mining Labourers"
"48","83",0.698237360157983,3.08027251882371,2.00664021000917,-0.0574833954335587,1.51785381213114,221114,"Factory Process Workers"
"49","84",-0.629885650385922,2.30361978296047,2.13440270963322,0.273653025376022,1.91348144384731,87482,"Farm, Forestry and Garden Workers"
"50","85",-0.833337841113377,2.74424427149082,2.55854583369432,0.978800175937364,2.38678572429728,56578,"Food Preparation Assistants"
"51","89",0.606096306281967,1.41382104962061,1.92970302810888,-0.636398997973895,1.34986052872923,171046,"Other Labourers"
