"","COMBINEDII","Information.Content","Automation.Routinization","No.Face.to.Face","No.On.Site.Work","No.Decision.Making","Population","CombinedII.Title"
"1",1,1.36692762700905,-0.453463733859717,0.15830846935665,1.66813203167286,-1.04394105252358,104869,"General Managers, Legislators"
"2",2,1.64574129311043,0.673667719125689,0.152477641395709,-0.0610323660188026,-0.622676083792172,117091,"Farm Managers"
"3",3,1.98401562119806,0.142302390528502,0.193347792744655,1.78849494617455,-0.521710257184213,746677,"Specialist Managers"
"4",4,0.841191384644558,0.635719006892099,-0.0978806214401975,1.28180303569032,0.381605501803494,344913,"Hospitality and Service Managers and Workers"
"5",5,1.55615371855449,1.07740430491359,0.980209437819716,1.89719629347035,0.366847543148697,63670,"Other Professionals"
"6",6,2.49983243740885,1.03405371063933,1.32456121857407,2.36204662931786,0.434335339846827,937273,"Business, ICT Professionals"
"7",7,2.26875245620376,0.574436325762489,1.38262550728379,1.07047388810903,0.00882727508506109,369450,"STEM Professionals"
"8",8,1.55862275440587,-0.857715811008084,-0.076053040474648,2.05376778926482,0.168652914041398,486969,"Education Professionals"
"9",9,2.17092985269962,0.173653810625019,-0.791080845860965,1.01813361931171,0.198103345365519,419992,"Health Professionals"
"10",10,1.38443347209231,-0.248850941741659,0.232585985120204,2.28311943222875,0.734637201734073,238167,"Sales supervisors and agents"
"11",11,2.15239424659763,-1.0343102618847,-0.301774710232049,2.38230504980514,-0.144175646892021,184467,"Legal Professionals"
"12",12,1.99700050599475,1.46426950148736,1.53694243064121,0.400440703570935,0.795969720067014,278532,"Technicians"
"13",13,0.555040890916412,1.53250561731443,2.25965471713662,-0.613432675206615,1.16855846786107,473665,"Auto and engineering tradespersons"
"14",14,-0.676241359060583,1.70986537861361,2.1272544851788,-0.029391524382578,1.38021674276772,251908,"Construction tradesworkers"
"15",15,1.22587828164147,1.89431024033075,1.22123980361775,-0.64209240370703,1.0016344665262,162341,"Electricians and telecom tradesworkers"
"16",16,-0.0909329888353092,2.03951017855631,1.10936641921887,0.736805189862653,1.09443899948342,167542,"Food trades workers"
"17",17,-0.480892251072541,1.38044091457129,1.70144831569179,-0.0275313075558414,2.0970156117531,91461,"Skilled Animal and Horticultural Workers"
"18",18,0.693935585613851,1.54477052498566,1.040353862828,0.700268758349231,1.19951458165921,424991,"Associate Professionals"
"19",19,1.25968848086362,1.8025554971103,1.51958330414988,2.00923676166745,2.34216787604289,705142,"Clerical Workers"
"20",20,0.799814456649772,0.654190199750551,0.918815646710209,1.78608610643039,2.12602797194611,271814,"Business and Administration Associate Professionals"
"21",21,1.71650309015322,1.39864372127606,0.380330731502769,2.1199745057974,1.97334348350551,118219,"Personal Assistants and Secretaries"
"22",22,1.53549274904896,1.84848887511587,1.78985756935659,1.80507899462319,1.63429698631785,287949,"Other Clerical and Administrative Workers"
"23",23,0.601194314912478,0.76989825028177,0.510852739999147,1.32799395699421,1.62603606171502,426678,"Sales workers"
"24",24,-0.0209549520726953,2.59724869561807,2.36416504542391,-0.469156455186581,1.67311709686574,395191,"Plant operators"
"25",25,0.243271274334986,1.53791019199297,1.90514749963067,-0.356119800258216,1.78462877379522,319272,"Road and rail drivers"
"26",26,0.0165756965492059,2.56761284964856,2.25152226237177,0.366580250184487,2.30313265468778,369633,"Other production workers"
"27",27,-0.248777747317784,2.08209424392938,2.24245639718072,-0.201502824991865,1.65166008463378,481865,"Labourers"
"28",28,-1.38707606182388,1.28187104313279,2.25165447560414,0.495695818241948,2.99020492840396,114087,"Cleaners"
"29",29,1.83148516957943,-0.82308244370828,-1.28797254052978,1.84662559654026,0.197529411335337,107421,"Health and Welfare Support Workers"
