IDENT_PSN,FAMNO_PSN,IUNO_PSN,PERSON_NUMBER,PERS_WT
00000894,1,01,01,01991494
00000894,1,01,02,01984271
00002995,1,01,01,05309909
00002995,1,01,02,05053507
00006535,1,01,01,04782142
00012623,1,01,01,05597368
00013317,1,01,01,01315744
00013317,1,01,02,01531315
00013317,1,01,03,01437333
00013317,1,02,01,01315744
00013317,1,03,01,01367647
00013317,1,04,01,01666153
00017355,1,01,01,04995960
00017355,1,01,02,04576179
00017355,1,01,03,04390000
00017516,1,01,01,04437675
00017516,1,01,02,04294392
00018846,1,01,01,02062209
00018846,1,01,02,02121176
00030986,1,01,01,05521935
00030986,1,01,02,04269538
00031419,1,01,01,01876226
00031419,1,01,02,02077073
00031419,1,01,03,02113571
00031419,1,02,01,02507258
00034613,1,01,01,04581257
00034613,1,01,02,04382875
00035232,1,01,01,02660294
00035232,1,01,02,02796746
00036085,1,01,01,05231645
00036085,1,01,02,04347368
00044639,1,01,01,05157187
00044639,1,01,02,04684642
00049154,1,01,01,04775270
00049154,1,01,02,04821811
00058419,1,01,01,01098333
00060484,1,01,01,04649500
00060484,1,01,02,04280127
00062283,1,01,01,01531315
00062283,1,02,01,01305283
00066225,1,01,01,02374785
00066225,1,01,02,02475253
00066376,1,01,01,02660294
00066376,1,01,02,02524615
00069530,1,01,01,05440240
00069530,1,01,02,04927356
00069530,1,01,03,05117115
00069530,1,02,01,04347368
00076986,1,01,01,03058333
00076986,1,01,02,02664444
00076986,1,02,01,02135434
00079644,1,01,01,05665040
00079644,1,01,02,05053507
00079644,1,01,03,08260500
00079644,1,01,04,06748800
00079644,1,02,01,05023437
00079644,2,01,01,05625357
00080796,1,01,01,03282000
00080796,1,01,02,03052142
00082074,1,01,01,04670722
00082074,1,01,02,04823896
00087217,1,01,01,04750113
00087217,1,01,02,04576179
00087217,1,01,03,05172093
00088387,1,01,01,04816687
00099789,1,01,01,03172959
00099789,1,01,02,03160666
00099789,1,01,03,02829500
00109008,1,01,01,02374785
00109008,1,01,02,02069523
00113131,1,01,01,02923513
00113131,1,01,02,02386341
00113131,1,01,03,03091111
00113131,1,01,04,02426153
00113131,1,01,05,02287142
00115836,1,01,01,03110340
00115836,1,02,01,03533066
00115836,1,03,01,02802571
00150159,1,01,01,02593000
00150159,1,01,02,02185851
00158933,1,01,01,02135434
00158933,1,01,02,02082500
00160846,1,01,01,01876226
00160846,1,01,02,02073555
00167915,1,01,01,04909666
00180749,1,01,01,05309909
00180749,1,01,02,05053507
00186544,1,01,01,05665040
00193050,1,01,01,04760181
00193050,1,01,02,04832500
00193785,1,01,01,02475253
00193785,2,01,01,02363947
00207333,1,01,01,04014166
00207333,1,01,02,05374044
00210352,1,01,01,05440240
00210352,1,01,02,04927356
00210352,1,02,01,04613015
00210352,1,03,01,04317424
00210352,1,04,01,04570158
00210352,1,05,01,05636530
00210352,1,06,01,05487058
00213686,1,01,01,04343740
00213686,1,01,02,04262429
00216604,1,01,01,06234216
00216604,1,01,02,05374044
00222624,1,01,01,01439069
00222624,1,01,02,01057142
00225418,1,01,01,01516333
00225418,1,01,02,01452166
00225418,1,02,01,01213684
00225418,1,03,01,01880000
00239940,1,01,01,04649500
00239940,1,01,02,04998013
00239940,1,01,03,05332608
00239940,1,01,04,05172093
00243538,1,01,01,04581257
00243538,1,01,02,04808657
00261582,1,01,01,04558723
00261582,1,02,01,02660294
00270203,1,01,01,04513730
00270203,1,01,02,04262429
00271362,1,01,01,02592957
00272100,1,01,01,05633529
00272100,1,01,02,04040000
00281534,1,01,01,03326530
00281534,1,01,02,03317685
00285670,1,01,01,01689200
00285670,1,01,02,01684615
00285670,1,02,01,01515384
00285670,1,03,01,01574444
00286429,1,01,01,03848529
00286429,1,01,02,03215857
00294625,1,01,01,04576179
00294625,1,02,01,04444642
00294625,1,03,01,05025660
00296705,1,01,01,03199398
00296705,1,01,02,03728220
00312287,1,01,01,04365294
00312287,1,01,02,04295833
00326274,1,01,01,04074074
00326274,1,01,02,02836551
00327388,1,01,01,03207023
00327388,1,01,02,02886451
00327388,1,02,01,03453571
00328717,1,01,01,05309909
00328717,1,01,02,04382875
00331479,1,01,01,01898636
00331479,1,01,02,01466774
00332797,1,01,01,03848529
00332797,1,01,02,03215857
00332797,1,01,03,02961351
00351324,1,01,01,03326530
00351324,1,01,02,03243406
00351324,1,02,01,03964642
00351324,1,03,01,04424800
00355983,1,01,01,02019603
00355983,1,01,02,02369708
00357596,1,01,01,05512420
00357596,1,01,02,04871396
00363504,1,01,01,04471855
00363504,1,01,02,03812660
00367207,1,01,01,02129090
00367207,1,01,02,02369708
00368790,1,01,01,05162716
00370849,1,01,01,04101300
00370849,1,01,02,04210559
00371789,1,01,01,03420337
00371789,1,01,02,03319047
00380627,1,01,01,05634843
00380627,1,01,02,04612857
00389058,1,01,01,04437675
00389058,1,01,02,04294392
00389108,1,01,01,02718000
00389108,1,01,02,02509642
00391856,1,01,01,03474859
00391856,1,02,01,03587187
00391856,1,03,01,03243406
00398893,1,01,01,02886451
00411307,1,01,01,02943109
00411307,1,01,02,03319047
00441576,1,01,01,02421333
00441576,1,01,02,02135517
00456107,1,01,01,02422820
00456107,1,01,02,02077073
00456107,1,01,03,03027000
00457066,1,01,01,04216944
00457066,1,01,02,04210559
00457066,2,01,01,04343740
00457066,2,01,02,04262429
00458623,1,01,01,03326530
00458623,1,01,02,03317685
00458623,1,02,01,04509166
00466693,1,01,01,05981956
00473240,1,01,01,02392750
00473240,1,01,02,02082500
00477875,1,01,01,04216944
00477875,1,01,02,04571681
00485632,1,01,01,03199398
00485632,1,01,02,02796746
00490927,1,01,01,04946889
00490927,1,01,02,04294392
00490927,1,01,03,04177741
00491136,1,01,01,02269473
00491136,1,01,02,02414838
00491136,1,01,03,02110975
00501707,1,01,01,02061052
00501707,1,01,02,01750555
00506200,1,01,01,04821811
00506200,2,01,01,04237794
00506859,1,01,01,02208214
00506859,1,01,02,02264761
00506859,1,01,03,02423076
00506859,1,02,01,02489166
00506859,1,03,01,02400000
00506859,1,04,01,01750555
00506859,1,05,01,02340000
00510692,1,01,01,04909666
00520402,1,01,01,02943109
00520402,1,01,02,03215857
00548354,1,01,01,02250526
00548354,2,01,01,02363947
00557915,1,01,01,02035683
00557915,2,01,01,02118974
00561945,1,01,01,04210559
00563977,1,01,01,01991494
00563977,1,01,02,01981213
00568178,1,01,01,04808657
00570059,1,01,01,04507740
00570059,1,01,02,04821811
00580491,1,01,01,04909100
00581799,1,01,01,02943109
00581799,1,01,02,03319047
00581799,2,01,01,03052142
00583079,1,01,01,02081568
00583079,1,01,02,02146181
00600951,1,01,01,03964642
00600951,2,01,01,03455328
00600951,3,01,01,02836842
